f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,ic.eps.s
1,1,-0.2367752097776092,-0.1809047202315976,0.6824013214278404,-0.8177516775461674,-0.4084481135296551,-0.1685198480699464,0.408470661180105,2.187469559889888,1.279390654306488,-0.89846582234419
1,2,-0.236774901861357,-0.1809041020322975,0.6824013214278404,-0.7737979883171462,-0.4440433763835645,-0.1685198381893136,-1.6319806327279802,1.320279229010842,0.8762324473993389,-0.8566649339469214
1,3,-0.2367749692459899,-0.1809051674013068,0.6824013214278404,-0.78262385398651,-0.4410493823117404,-0.1685198381525673,-1.3382556378928188,1.288649186547174,0.9142662405037912,-0.8650167598005217
1,4,-0.2367750950703928,-0.1809050570345607,0.6824013214278404,-0.8001877657663388,-0.4295270414898716,-0.1685198389704928,-0.653938894606644,1.117319789868944,1.0625980336111316,-0.8817621706369898
1,5,-0.2367750950703928,-0.1809048513730786,0.6824013214278404,-0.8001877657663388,-0.4190480622384872,-0.1685198419813736,-0.6320657566933872,2.0477702056753304,1.0930250680946954,-0.8817621706369898
2,1,-0.0372386535738491,-0.1537921113677472,0.6794044041511207,1.5205758074818712,-0.2679420887044528,-0.1443864209059808,0.5584578925853,-1.059881466380567,-0.2647813457341089,1.4340321020492444
2,2,-0.0325318755159042,-0.1597651533032867,0.6775313308531711,1.5293577633717856,-0.238259208083287,-0.1527101317302102,0.461591138969449,-0.7804827579514475,-0.2876016215967753,1.408934865359176
2,3,0.0144846452496011,-0.1440249778835542,0.6764074868744009,1.573311452600807,-0.2924686462019215,-0.1363306047928698,-0.3852117716723473,-0.6012458506572994,-0.3788827250474494,1.4758329904465126
2,4,0.0263383420821513,-0.1584986895893324,0.6749090282360413,1.5645294967108925,-0.3838157077569201,-0.1602738979056463,0.4897137448579214,-0.1847836248856027,-0.2343543112505452,1.3755275619447755
2,5,-0.0278250974579593,-0.1443822751716652,0.6775313308531711,1.5557475408209782,-0.2504771232854786,-0.1362026273453066,-0.1039857127876177,-0.6697776093285919,-0.3104218974594417,1.500930227136581
3,1,-0.2367695498092047,-0.1809047214290965,0.603170320924565,-0.4661221637139977,-0.2025429757719302,-0.1685196942624305,0.6115783703746379,0.3476554232528959,0.663243206014427,-0.4553597016814369
3,2,-0.2367633407966045,-0.1809009344248781,0.6546798366181839,-0.2463537175688915,-0.145717573135995,-0.16851588104815,0.2584834297749221,-0.0108183913354003,0.3361525853161745,-0.0875452910888889
3,3,-0.2367435699664228,-0.1809003684129632,0.6438160114900752,-0.1233185155511919,-0.2505073656498405,-0.1685174287798663,-1.397625583657372,-0.1847836248856027,0.3285458266952856,-0.1544016570469576
3,4,-0.2367644907652,-0.1809030058464946,0.6359491036386862,-0.2903074067979128,-0.0938216758910429,-0.1685187770474794,0.19598875002276,0.3740137919726236,0.4616641025608566,-0.2463552596950947
3,5,-0.2367657840645729,-0.1809034221361823,0.6303298837448366,-0.3694328293660409,-0.2401342346737224,-0.1685194647817711,0.6178278383498534,0.8221060602079944,0.7164905163606571,-0.4135588132841685
4,1,-0.2367591805835245,-0.1809024910346009,0.5269362376980093,-0.1233185155511919,0.0092443018541764,-0.1685178083101582,0.4678406069446645,0.5743373942425546,0.4008100335937377,-0.0707998802524206
4,2,-0.236704522105079,-0.1808962554298773,0.6689151936826018,0.0437142854749787,-0.1443566667397113,-0.1685132195154082,0.1053714643821246,0.1974127215504487,0.2524782404863891,0.0546027849393848
4,3,-0.236759956273505,-0.1809023362060765,0.6059799308714897,-0.2551795832382554,-0.1181062944736166,-0.168518506986099,0.4772148089074896,0.3054820333013319,0.4540573439399679,-0.2296516079878945
4,4,-0.2367587744654574,-0.1808999619921097,0.6262091224893471,-0.0661479827078495,-0.1167756304416948,-0.1685158552751446,0.6303267743002862,0.3107537070452776,0.3209390680743968,-0.0373508177087523
4,5,-0.2367644907652,-0.1809003539659795,0.6351998743195063,-0.0969287381019992,-0.0224648171792339,-0.168515756679272,0.461591138969449,0.6112391104501729,0.3513661025579521,-0.0039435142943519
5,1,-0.2367754098443732,-0.180904708355525,0.6824013214278404,-0.8617053667751887,-0.5409701541633264,-0.1685198278551342,-3.5161952272556665,0.3133895439172501,-0.7858443112650514,-0.9486185365950583
5,2,-0.2367754098443732,-0.1809036243571265,0.6824013214278404,-0.8617053667751887,-0.5381273719133116,-0.1685198278551342,-3.566190971057396,0.2211352533982032,-0.7630240354023765,-0.9486185365950583
5,3,-0.2367754098443732,-0.1809045846376079,0.6824013214278404,-0.8617053667751887,-0.5433290585835515,-0.1685198278551342,-3.603687778908693,0.0023607930244635,-0.7516138974710432,-0.9486185365950583
5,4,-0.2367754098443732,-0.1809031588179465,0.6824013214278404,-0.8617053667751887,-0.5444782684293021,-0.1685198278551342,-3.6161867148591256,-0.1505177455499569,-0.7744341733337097,-0.9486185365950583
5,5,-0.2367754098443732,-0.1809047543749399,0.6824013214278404,-0.8617053667751887,-0.5462020831979282,-0.1685198278551342,-3.656808256698031,-0.313939631612268,-0.7782375526441625,-0.9486185365950583
