f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,ela_level.mmce_lda_10,nbc.nb_fitness.cor,ic.eps.s,nbc.nn_nb.sd_ratio
1,1,-0.2364580482621222,-0.1808589033119105,-0.7340150135778878,-0.4034667084867374,0.7174016441401084,-0.1340998341284853,0.346901647912173,-0.4337294112793912,-0.8108532702795608,1.9295582451298456
1,2,-0.2364577403674317,-0.180858285117556,-0.6901888292764605,-0.4390106359576938,0.7174016441401084,-0.1340997935362873,-1.760068527594536,0.0351805392417274,-0.7694814359957256,1.24473899726743
1,3,-0.236457807747346,-0.1808593504780423,-0.6989890920582655,-0.4360209598152769,0.7174016441401084,-0.1340998304292064,-1.4567680735399708,0.0086466737669702,-0.7777475367517367,1.2664479647789184
1,4,-0.2364579335629381,-0.1808592401121791,-0.7165020528180767,-0.4245152364793089,0.7174016441401084,-0.1340998310936499,-0.7501425476043342,-0.1370720956435808,-0.7943210687675387,1.1243529047037202
1,5,-0.2364579335629381,-0.1808590344523423,-0.7165020528180767,-0.4140513699808498,0.7174016441401084,-0.1340998249057651,-0.727556343578994,-0.1388120212484836,-0.7943210687675387,1.8190398650713535
2,1,-0.0369354645450826,-0.1537465113501182,1.5975292347776588,-0.2631633210355367,0.7148418306446213,-0.1338451658541711,0.5017784755145106,0.7381104836221797,1.4977033488591938,-0.5827613586997087
2,2,-0.032229016077841,-0.1597195055010607,1.6062857151575645,-0.2335232489771308,0.713241947209942,-0.1338651247501741,0.4017538576880052,0.4079596000920045,1.4728637160873803,-0.4268515011171987
2,3,0.0147842123700833,-0.1439794560034208,1.6501118994589918,-0.2876545064042246,0.7122820171491342,-0.1337999960664206,-0.4726548981501574,0.7085317483388437,1.5390751831430285,-0.4110631611088434
2,4,0.0266370791511144,-0.1584530519188716,1.641355419079086,-0.378869827496853,0.7110021104013908,-0.1336594536945477,0.4307932628634418,-0.4733127187909142,1.4397993130633364,-0.2156824535054454
2,5,-0.0275225676105995,-0.1443367504331379,1.6325989386991808,-0.2457235435381048,0.713241947209942,-0.1337847325500281,-0.1822608463957859,0.7115766181474226,1.5639148159148415,-0.446586926127643
3,1,-0.2364523886900553,-0.1808589045093998,-0.3834055391664702,-0.1978585265105212,0.64972657485317,-0.1340997844317809,0.5566306852903364,-0.2927954372823204,-0.3722952946693966,0.4691367943569705
3,2,-0.2364461801122392,-0.1808551175354775,-0.1642746176593342,-0.1411150773024269,0.6937233693068535,-0.1340997851349496,0.192024820309848,0.8638201085763573,-0.0082562173746719,0.2086291842191065
3,3,-0.236426410666504,-0.1808545515280908,-0.0415963275368578,-0.2457537422870181,0.6844440453857129,-0.1340997470660063,-1.5180734844658932,0.1687198294179641,-0.07442635392654,-0.0933228184406907
3,4,-0.2364473300003086,-0.1808571889405226,-0.2081008019607614,-0.0892940241672008,0.6777245349600595,-0.1340997657152638,0.1274928088088766,0.2578910166691971,-0.1654361232502212,0.6684645869624575
3,5,-0.2364486232091186,-0.18085760522688,-0.2869966901837102,-0.2353955714097555,0.6729248846560212,-0.1340997513950798,0.563083886440433,-0.3554327590587962,-0.3309234603855616,0.6428085344488801
4,1,-0.2364420201904769,-0.1808566741327474,-0.0415963275368578,0.0136233121293321,0.5846113190617186,-0.1340997402524032,0.4082070588381016,0.2887746961562095,0.0083173146411302,0.7493798295052788
4,2,-0.2363873655394749,-0.180850438577909,0.1249519292889455,-0.1397561336013283,0.7058824834104166,-0.1340996505158448,0.0339213921324676,0.4140493397091617,0.1324328174926355,0.5204488993841254
4,3,-0.23644279582614,-0.1808565193054616,-0.1730748804411392,-0.1135436195445822,0.6521264000051892,-0.1340998000258212,0.4178868605632481,0.2535412026569418,-0.1489039217381992,0.4691367943569705
4,4,-0.2364416141008481,-0.1808541451104886,0.0154083597363273,-0.1122148745923969,0.6694051410997265,-0.1340996720144643,0.5759902887406275,0.4666820892574505,0.0414230481689542,0.3803273818099713
4,5,-0.2364473300003086,-0.1808545370812226,-0.0152831039952415,-0.0180400761062649,0.6770845815861878,-0.1340997432852005,0.4017538576880052,0.7141865065547763,0.0744874511929983,0.4434807418433892
5,1,-0.2364582483148766,-0.1808588914359329,-0.7778411978793149,-0.5357976262248265,0.7174016441401084,-0.1340997971907264,-3.705708674348824,0.2926895287672403,-0.8604912053194068,-0.5590788486871755
5,2,-0.2364582483148766,-0.1808578074462064,-0.7778411978793149,-0.5329589438269762,0.7174016441401084,-0.1340997971907264,-3.7573342835496,0.3100887848162614,-0.8604912053194068,-0.7406447587832667
5,3,-0.2364582483148766,-0.1808587677190055,-0.7778411978793149,-0.538153128640064,0.7174016441401084,-0.1340997971907264,-3.7960534904501833,0.2670256260949341,-0.8604912053194068,-0.6064438687122414
5,4,-0.2364582483148766,-0.1808573419107508,-0.7778411978793149,-0.5393006810987695,0.7174016441401084,-0.1340997971907264,-3.8089598927503774,0.2900796403598865,-0.8604912053194068,-0.8610308513469728
