f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_distr.skewness,ela_level.mmce_lda_10,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.sd_ratio
1,1,-0.2367752001957401,-0.1809047091992221,0.6868718694120547,-0.8120901453229986,-0.364672084401323,0.3886620377651569,-1.247466341767429,-0.4128680408325286,2.086393035013552,1.927079039888293
1,2,-0.2367748922794885,-0.1809040909999232,0.6868718694120547,-0.7682625395986078,-0.4008033393054969,-1.6636954424383972,-0.8934610214681784,0.0651361152608305,1.2816681743723486,1.23555635107546
1,3,-0.2367749596641213,-0.1809051563689304,0.6868718694120547,-0.777063087801008,-0.3977642617901925,-1.3682565402345157,-0.9204843283612508,0.0380876426061971,1.2523165077228262,1.257477819596904
1,4,-0.236775085488524,-0.1809050460021845,0.6868718694120547,-0.7945766165620033,-0.3860684180191727,-0.6799467574403661,-1.0664101855838428,-0.1104572482020354,1.0933283133712215,1.1139918438201784
1,5,-0.236775085488524,-0.1809048403407028,0.6868718694120547,-0.7945766165620033,-0.3754316467156076,-0.6579459881273109,-1.0826241697196866,-0.1122309185400449,1.9567565073114732,1.815478836506391
2,1,-0.0372386444206468,-0.1537921003877686,0.6843303142074217,1.519529722450213,-0.2220503254507775,0.539524455911826,0.1982805770119532,0.781698931816367,-0.9270447410045574,-0.609832726275213
2,2,-0.0325318663728135,-0.1597651423117648,0.6827418422045264,1.5282864868307109,-0.1919204811955127,0.4420924775254397,0.2063875690798748,0.4451449851792061,-0.6677716856003969,-0.4523967250757492
2,3,0.0144846542916857,-0.1440249669224512,0.6817887590027889,1.5721140925551018,-0.2469462028741293,-0.4096515915942618,0.2550295214874053,0.751546536070218,-0.5014455745864107,-0.4364538388783353
2,4,0.0263383510987704,-0.158498678600258,0.6805179814004726,1.5633573281746038,-0.3396687648435917,0.4703791809279385,0.1604479473616512,-0.4532190410222277,-0.1149819637009725,-0.2391606221853369
2,5,-0.0278250883249802,-0.1443822642098717,0.6827418422045264,1.5546005637941065,-0.2043223732781688,-0.1267845575692685,0.2063875690798748,0.7546504591617336,-0.5650408523270529,-0.4723253328225167
3,1,-0.2367695402273478,-0.1809047103967209,0.619679503689574,-0.461469299527872,-0.1556664352806194,0.5929548956721026,-0.6826792277022128,-0.2692007434538196,0.3791044248993982,0.4523620666274963
3,2,-0.2367633312147609,-0.1809009233925099,0.663362483769201,-0.2423312709059178,-0.0979853579951965,0.2377996196185001,-0.4313624735966379,0.9098466137374996,0.0464522028714257,0.1893044443701652
3,3,-0.2367435603846217,-0.1809003573805961,0.6541493461524069,-0.1196490019351455,-0.2043530710308486,-1.427972914084236,-0.3962321746356436,0.2012653137030022,-0.1149819637009725,-0.115603254155378
3,4,-0.236764481183354,-0.1809029948141224,0.6474777637402458,-0.2861588766303086,-0.0453080143965877,0.1749402787240572,-0.5178370556544756,0.2921659185259507,0.4035641471073374,0.6536410048698483
3,5,-0.2367657744827241,-0.1809034111038093,0.642712347731559,-0.3650573236985926,-0.1938237418616628,0.5992408297615462,-0.7286188494204359,-0.3330528756221346,0.8193794246423033,0.6277338147990505
4,1,-0.2367591710016899,-0.1809024800022297,0.5550286931717263,-0.1196490019351455,0.0593099267363133,0.4483784116148833,-0.4394694656645594,0.323648567025606,0.5894580358876755,0.735348296631595
4,2,-0.2367045125233619,-0.1808962443975182,0.6754348709912068,0.0469046565819202,-0.0966039591246036,0.0837942344271146,-0.3340785687815761,0.4513528313622365,0.2396840083141454,0.5041764467690917
4,3,-0.2367599466916687,-0.1809023251737056,0.6220622116939174,-0.2511318191083179,-0.0699583097985008,0.4578073127490504,-0.5016230715186263,0.2877317426809288,0.3399688693666958,0.4523620666274963
4,4,-0.2367587648836236,-0.1808999509597433,0.639217709325189,-0.0626424658181055,-0.0686076086805878,0.6118126979404351,-0.3935298439463412,0.5050063590870013,0.3448608138082837,0.3626833317670423
4,5,-0.236764481183354,-0.1809003429336124,0.6468423749390877,-0.0933349249717499,0.0271233330514991,0.4420924775254397,-0.4124461587714869,0.7573109646687474,0.6237016469787899,0.4264548765566948
5,1,-0.2367754002625037,-0.1809046973231495,0.6868718694120547,-0.8559177510473895,-0.4991896366443901,-3.55890457040585,0.5576905586898124,0.3276393252861267,0.3473067860290774,-0.5859183969790919
5,2,-0.2367754002625037,-0.1809036133247531,0.6868718694120547,-0.8559177510473895,-0.496304047892485,-3.609192043121405,0.5549882280005107,0.3453760286662143,0.2616977583012903,-0.7692615882493572
5,3,-0.2367754002625037,-0.1809045736052327,0.6868718694120547,-0.8559177510473895,-0.5015840613534178,-3.6469076476580704,0.5468812359325891,0.3014776878004976,0.0586820639753953,-0.6337470555713336
5,4,-0.2367754002625037,-0.1809031477855741,0.6868718694120547,-0.8559177510473895,-0.5027505759552519,-3.659479515836959,0.549583566621896,0.3249788197791129,-0.0831843248306517,-0.8908260955046351
5,5,-0.2367754002625037,-0.1809047433425643,0.6868718694120547,-0.8559177510473895,-0.5045003478580028,-3.700338087418347,0.549583566621896,0.3254222373636151,-0.2348346025198741,-0.8908260955046351
6,1,-0.2295556164383075,-0.1798633346977981,0.6093544356707532,0.8796291653453457,-0.2468541096160898,-1.390257309547571,-0.2340923332772081,0.3999163915599834,-0.2715241858317828,-0.4324681173289816
6,2,-0.2301915731788477,-0.1800139673180924,0.5853685084270306,0.853358872203853,-0.2296940658680581,-1.0633887368964674,-0.4448741270431741,0.2957132592019683,0.0611280361961848,-0.005995911548161
6,3,-0.2298809225679272,-0.1797707026611869,0.5948993404444037,0.8796291653453457,-0.2714430095126431,-1.2865393970717405,-0.3989345053249506,0.2629003579488065,-0.144333630350499,-0.0657817347884631
6,4,-0.2272549240074526,-0.1793129770439599,0.6368350013208456,0.9234567710697368,-0.3073900779007379,-1.591407200409788,-0.3232692460243475,0.3161104680890692,-0.0440487692979486,-0.0817246209858731
6,5,-0.2324276486452953,-0.1804620469104056,0.4682981218136307,0.7744604251355689,-0.1686976312932123,-0.8465240108106398,-0.3583995449853417,0.2127941709000593,0.2029944250022367,-0.2291963183119531
7,1,-0.2367556848053244,-0.180902211933598,0.6784529677967083,-0.2511318191083179,-0.133410564587734,0.7343884126845922,-0.1881527115589846,0.47840130401687,-0.0807383526098574,-0.1614390519729433
7,2,-0.2367599466916687,-0.1809030206301341,0.6754348709912068,-0.2949594248327088,-0.1232035618216865,1.1052585239618116,-0.3043529311991965,0.3622258968772966,-0.0489407137395366,-0.1116175326060244
7,3,-0.2367606873688991,-0.1809031799840093,0.6741640933888905,-0.2949594248327088,-0.021194929666572,0.737531379729321,-0.3340785687815761,0.2651174458713182,-0.3057677969228979,-0.1116175326060244
7,4,-0.2367650176195515,-0.1809034779844897,0.6668571221755711,-0.3738140880790903,-0.1980907294841609,0.039792695801005,-0.5043254022079332,0.0655795328453327,0.5283087303678276,0.5480193838119805
