f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nb_fitness.cor,ela_level.lda_mda_25
1,1,-0.2367752253329674,-0.1809047051959524,0.656098097745949,-0.8424512858438185,-0.1685198480225557,-0.4859204792805152,0.4090545888009675,0.2500560257420526,-0.5286310710112506,-0.3150059936670169
1,2,-0.236774917416714,-0.1809040869966539,0.656098097745949,-0.797847529859554,-0.1685198381419229,-0.5235257378564732,-1.6318698910348544,-1.6535683682103228,-0.0382142942899702,-0.3167213833340324
1,3,-0.2367749848013472,-0.1809051523656604,0.656098097745949,-0.8068039284138369,-0.1685198381051766,-0.5203626787239161,-1.3380767806143832,-1.3753463414018985,-0.0659651508576864,-0.3255691826691668
1,4,-0.2367751106257506,-0.1809050419989145,0.656098097745949,-0.8246276071288277,-0.1685198389231021,-0.508189693577408,-0.6536013425071145,-0.7925444115611,-0.2183673959426848,-0.3141031570001662
1,5,-0.2367751106257506,-0.180904836337433,0.656098097745949,-0.8246276071288277,-0.1685198419339829,-0.4971189866134577,-0.6317231321566538,-0.73690000619941,-0.220187124242208,-0.3211452830015996
2,1,-0.0372386684333009,-0.1537920964035113,0.6534574654664461,1.530459620679688,-0.1443864208587775,-0.3374803506960625,0.5590766026327036,1.1989395698044614,0.6969559387170695,0.4012143341454334
2,2,-0.0325318903589406,-0.159765138323319,0.6518070702917571,1.5393714600371835,-0.1527101316829423,-0.3061213351545987,0.4621873853663782,0.677639351152894,0.3516624938826988,1.1509299022980346
2,3,0.0144846305705402,-0.144024962945043,0.6508168331869433,1.583975216021448,-0.1363306047457291,-0.3633918755092332,-0.3848119010585982,-0.6607550304413209,0.666020557625189,0.8002681408933258
2,4,0.0263383274444314,-0.1584986746127002,0.6494965170471921,1.5750633766639524,-0.1602738978583197,-0.4598971291444763,0.4903165129598271,-0.2126711346340634,-0.5700298898253846,6.226948494331235
2,5,-0.0278251122845802,-0.144382260232213,0.6518070702917571,1.5661515373064572,-0.1362026272981669,-0.319029172422812,-0.1035206251241041,-0.3678897390640264,0.6692050821493533,1.055409782945259
3,1,-0.2367695653645431,-0.1809047063934512,0.5862863818565953,-0.4856212379697035,-0.1685196942150399,-0.2683882762096485,0.6122093991981082,0.3086290840175104,-0.3812330787499381,0.145260139093335
3,2,-0.2367633563519212,-0.1809009193892428,0.6316722491605488,-0.2626024580483816,-0.1685158810007594,-0.2083540528755575,0.2590325749692436,-0.0310946539801442,0.8284313083575613,-0.1477103592996307
3,3,-0.2367435855216706,-0.1809003533773295,0.6220999571473513,-0.1377475886498715,-0.1685174287324757,-0.3190611225150601,-1.3974604944227758,-1.510064375435451,0.1014498526983719,0.0627408677432055
3,4,-0.2367645063205208,-0.1809029908108538,0.6151682974136566,-0.3072062140326461,-0.1685187770000887,-0.1535276945778991,0.196523402539356,0.0069778338989031,0.1947109280488934,-0.0891162596210377
3,5,-0.2367657996198982,-0.1809034071005405,0.6102171118895888,-0.3875018866436793,-0.1685194647343804,-0.308102240873978,0.6184603164410963,0.5370640112917955,-0.4467432975327436,-0.1793999263060813
4,1,-0.2367591961388268,-0.1809024759989615,0.5191152982467446,-0.1377475886498715,-0.1685178082627676,-0.0446417801965356,0.4684383026093663,0.6893539628079859,0.2270111053654156,-0.2405219686518556
4,2,-0.2367045376601907,-0.1808962403942544,0.6442152524881865,0.0317555959296906,-0.1685132194680176,-0.2069162987243952,0.1058851025160186,-0.072095794772965,0.3580315429310269,-0.0892065432877229
4,3,-0.23675997182881,-0.1809023211704375,0.5887619746186292,-0.2715588566026645,-0.1685185069387083,-0.1791836186530854,0.4778146784738501,0.4257752005684259,0.1901616073000875,-0.2630928853231164
4,4,-0.2367587900207582,-0.180899946956477,0.6065862425052726,-0.0797315144325765,-0.1685158552277539,-0.1777778145941711,0.6309621509270742,0.7098545332043954,0.4130783239915788,-0.1072632766247316
4,5,-0.2367645063205208,-0.1809003389303457,0.614508139343781,-0.1109675113805978,-0.1685157566318813,-0.0781414519186188,0.4621873853663782,0.660067433670257,0.6719346745986375,-0.2314033183166666
5,1,-0.2367754253997321,-0.1809046933198798,0.656098097745949,-0.8870550418280828,-0.1685198278077435,-0.6259257835114821,-3.516521439795964,-3.311185917405776,0.231105494039342,-1.4666644459014315
5,2,-0.2367754253997321,-0.1809036093214841,0.656098097745949,-0.8870550418280828,-0.1685198278077435,-0.6229224748401652,-3.5665287777398738,-3.328757834888413,0.2493027770345658,-1.4564623915660215
5,3,-0.2367754253997321,-0.1809045696019631,0.656098097745949,-0.8870550418280828,-0.1685198278077435,-0.6284178907068302,-3.6040342811978063,-3.328757834888413,0.2042645016213869,-1.4708174945689436
5,4,-0.2367754253997321,-0.1809031437823054,0.656098097745949,-0.8870550418280828,-0.1685198278077435,-0.6296319942122561,-3.616536115683784,-3.314114570319549,0.2283759015900577,-1.5192998235788118
