f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_meta.lin_simple.coef.max,nbc.nn_nb.cor,nbc.nn_nb.sd_ratio,ela_distr.skewness,nbc.nb_fitness.cor
1,1,-0.2367751825445878,-0.8060344273781329,-0.1809046770674811,0.7243551490866048,-0.8874399118950751,-0.1685198457831903,2.091968953412437,1.9257674657333663,-0.4163051385986064,-0.4326644766652945
1,2,-0.2367748746283374,-0.7623532025519372,-0.1809040588681856,0.7243551490866048,-0.8458830198422405,-0.1685198359025574,1.296519114187891,1.2331583599770175,-0.4520108925469924,0.0363621427717111
1,3,-0.2367749420129699,-0.7711243575869675,-0.1809051242371869,0.7243551490866048,-0.854186095177472,-0.1685198358658112,1.2675057461918633,1.2551142682286591,-0.4490076048317076,0.0098216754380772
1,4,-0.2367750678373721,-0.7885793924825502,-0.1809050138704416,0.7243551490866048,-0.8708337612246116,-0.1685198366837367,1.1103500028800235,1.1114028687633657,-0.4374494975637933,-0.1359333500826985
1,5,-0.2367750678373721,-0.7885793924825502,-0.180904808208961,0.7243551490866048,-0.8708337612246116,-0.1685198396946174,1.9638265780966289,1.813991932815911,-0.4269379905602966,-0.1376737085963801
2,1,-0.03723862755916,1.517798005858026,-0.1537920684086326,0.7217874391872674,1.4314429677284404,-0.144386418628268,-0.8867368275135104,-0.6151299164794071,-0.2753629696570592,0.7394669822987991
2,2,-0.0325318495299537,1.5265255233058177,-0.1597651102990092,0.7201826205001817,1.406492226346069,-0.1527101294493784,-0.63045207688189,-0.457446575399431,-0.2455879505403719,0.4092339543278463
2,3,0.0144846709484776,1.5702067481320132,-0.1440249349982902,0.7192197292879299,1.472999859781275,-0.1363306025181757,-0.4660429915710425,-0.4414786421255094,-0.2999656599307559,0.7098808875662235
2,4,0.0263383677086513,1.5614792306842218,-0.1584986465946307,0.7179358743382613,1.373279925005142,-0.1602738956219801,-0.0840336462899562,-0.2438754678607299,-0.3915962714864906,-0.4722576328515352
2,5,-0.0278250715007475,1.5527517132364306,-0.1443822322836997,0.7201826205001817,1.4979506011636463,-0.1362026250706605,-0.5289052888957787,-0.477406491991833,-0.2578437913178978,0.7129265149651652
3,1,-0.2367695225762179,-0.456584628768568,-0.1809046782649799,0.656471318622873,-0.446920249984356,-0.1685196919756745,0.404358048309914,0.4487336378956192,-0.2097608516337927,-0.2916954370571408
3,2,-0.2367633135636555,-0.2381785046375898,-0.1809008912607901,0.7006038325177342,-0.081252812220751,-0.1685158787613954,0.0755398776882191,0.1852627388759131,-0.1527590575224781,0.8652078849122451
3,3,-0.2367435427335946,-0.1159059851940333,-0.1809003252488796,0.6912958841326362,-0.1477189302792809,-0.1685174264931111,-0.0840336462899562,-0.1201239849878374,-0.2578741275574461,0.1699346586967208
3,4,-0.2367644635322441,-0.2818597294637854,-0.180902962682391,0.6845556456468757,-0.2391357897201823,-0.1685187747607237,0.4285358549732739,0.6503287954788792,-0.1007020704575415,0.2591280325228673
3,5,-0.2367657568316091,-0.3604946616683853,-0.1809033789720756,0.6797411895856179,-0.4053633579315213,-0.1685194624950151,0.8395585682503929,0.6243809039087568,-0.2474687973923685,-0.3543483435496534
4,1,-0.236759153350601,-0.1159059851940333,-0.1809024478705012,0.5911551980584786,-0.0646051461736113,-0.1685178060234029,0.6122871856148099,0.7321644535077273,0.0026838339231715,0.2900193961407035
4,2,-0.2367044948724893,0.0500913966629579,-0.1808962122658248,0.7128004545395865,0.0600655299848929,-0.1685132172286546,0.2665445503287629,0.5006294210358643,-0.1513939267428033,0.4153252091257293
4,3,-0.2367599290405767,-0.2469496596726201,-0.180902293041978,0.6588785466535019,-0.2225296390497188,-0.1685185046993434,0.3656735576485383,0.4487336378956192,-0.1250620708148516,0.2547771362386651
4,4,-0.2367587472325363,-0.0590898466089116,-0.1808999188280291,0.676210588474029,-0.0313513294560083,-0.16851585298839,0.3705091189812105,0.3589140132298102,-0.123727276274725,0.4679710541645769
4,5,-0.2367644635322441,-0.0896797952634202,-0.1809003108018959,0.6839137181720414,0.0018609718849185,-0.1685157543925174,0.6461361149435134,0.4227857463254929,-0.0291237132432538,0.7155370527356872
6,1,-0.2295555988157266,0.8800346683606743,-0.1798633025719185,0.646039997156815,0.7499265442126205,-0.1681103949135906,-0.2387716089354594,-0.4374866588070289,-0.2998746512121109,0.3648548122289836
