f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,disp.ratio_mean_02,nbc.dist_ratio.coeff_var
2,1,-0.0372386119602488,-0.1537920958249228,0.7217874391872674,-0.2697244561276601,1.5171270114854736,-0.1443864192169295,0.5156045229540476,-0.874457015126744,0.5322070059451841,0.139933263726496
2,2,-0.0325318339482748,-0.1597651377441221,0.7201826205001817,-0.240021893073361,1.5258341137421705,-0.152710130038846,0.41668991689845,-0.6024166156168632,0.5786492777165664,0.1482282767824479
2,3,0.0144846863580218,-0.1440249623674493,0.7192197292879299,-0.2942672769499082,1.569413160536937,-0.1363306031060571,-0.4480151876520995,-0.427900132912415,0.5601671491544856,0.19799835511816
2,4,0.0263383830747973,-0.1584986740336324,0.7179358743382613,-0.3856749098643353,1.5607060582802403,-0.1602738962121803,0.4454070605920101,-0.0224059525109034,0.5104075722565764,0.1012232027987195
2,5,-0.0278250559363008,-0.1443822596545829,0.7201826205001817,-0.2522479098578102,1.551998956023544,-0.1362026256585294,-0.1608437507164925,-0.4946270233582339,0.5639583550133747,0.1482282767824479
3,1,-0.2367695062467934,-0.1809047058121012,0.656471318622873,-0.2042819776712957,-0.4526371965357215,-0.1685196925666732,0.5698480165974402,0.4960106578758396,-0.8658001545198917,-0.7614581550202919
3,2,-0.2367632972342538,-0.1809009188078931,0.7006038325177342,-0.147418894656494,-0.2347419625618882,-0.1685158793523938,0.2092883235560671,0.1469776924669432,-0.8013496549187886,-0.5043127502857788
3,3,-0.2367435264042653,-0.1809003527959798,0.6912958841326362,-0.2522781722755934,-0.1127554599455685,-0.1685174270841096,-1.4818323606202832,-0.0224059525109034,-0.5577646784852133,-0.4683676937099868
3,4,-0.2367644472028381,-0.1809029902295039,0.6845556456468757,-0.0954885857403684,-0.2783210093566549,-0.1685187753517223,0.1454724486814878,0.5216748465088468,-0.778128519033098,-0.5927928895492728
3,5,-0.2367657405021984,-0.1809034065191905,0.6797411895856179,-0.241898162975925,-0.3567720006894915,-0.1685194630860138,0.5762296040848974,0.9579660532699676,-0.8984993050528032,-0.8084632290040199
4,1,-0.2367591370212144,-0.1809024754176117,0.5911551980584786,0.0076457340650834,-0.1127554599455685,-0.1685178066144014,0.4230715043859072,0.7167226801197012,-0.7539595816826854,-0.5126077633417307
4,2,-0.2367044785433029,-0.1808962398129052,0.7128004545395865,-0.1460570858562459,0.0528536249768014,-0.1685132178196526,0.0529394301133474,0.3497247826676997,-0.647805817633811,-0.4047725936143539
