f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.max,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_meta.lin_simple.intercept,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.mean_ratio
1,1,-0.225098447814069,-0.1678306899929399,-0.7333641313674035,-0.3890653050571492,0.7227373050311902,-0.8107087039461732,-0.1794099320312573,0.2502179305599523,0.4276697994578857,1.1523512017030757
1,2,-0.2250981402181381,-0.1678306801133564,-0.6876693434958026,-0.4245545578329797,0.7227373050311902,-0.7676059067918833,-0.1794093139770858,-1.6618440515864816,-1.6407184011146791,0.8236549936171417
1,3,-0.2250982075326716,-0.167830680076614,-0.6968448203811091,-0.4215694804966949,0.7227373050311902,-0.7762178542752579,-0.1794103790959889,-1.382388838811233,-1.3429718607566066,0.8546640698516673
1,4,-0.225098333226181,-0.1678306808944527,-0.7151044758742563,-0.4100814555964473,0.7227373050311902,-0.793484808979424,-0.1794102687551525,-0.7970037088925616,-0.649285772050032,0.9755994671662976
1,5,-0.225098333226181,-0.1678306839050137,-0.7151044758742563,-0.3996336849194505,0.7227373050311902,-0.793484808979424,-0.1794100631419515,-0.7411126663375067,-0.6271131573425157,1.0004067281539195
2,1,-0.0257694669227272,-0.1436998257036063,1.6975894535740244,-0.248977736326046,0.7201715437433334,1.5944359892106847,-0.1523036881267533,1.2033072878144762,0.5797105860237164,-0.1066172934185261
2,2,-0.0210675852654441,-0.1520226525826269,1.7067192813205982,-0.2193832574819698,0.7185679429384232,1.568557087023144,-0.1582753278302433,0.6796964680882281,0.4815175780332882,-0.1252227391592374
2,3,0.0259000248183676,-0.1356448650863442,1.7524140691921994,-0.2734312486465206,0.7176057824554767,1.6375387863649744,-0.142538847576002,-0.6646301870516553,-0.3768793627862631,-0.1996445221220895
2,4,0.0377413904025984,-0.1595856155159738,1.7432842414456255,-0.3645062596995333,0.7163229018115485,1.5341092970896455,-0.1570091614314641,-0.2145602127925657,0.5100252255143799,-0.0818100324309042
2,5,-0.016365703608161,-0.1355169012294804,1.734154413699052,-0.231564785197718,0.7185679429384232,1.6634176885525152,-0.1428960609849583,-0.3704668051829672,-0.0918028879753418,-0.1438281848999487
