f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,ela_level.mmce_mda_10,nbc.nn_nb.mean_ratio
1,1,-0.236775145312735,-0.18090472066949,-0.7965615744218395,0.6824244127959399,-0.4046414339389118,-0.1685198480272413,0.4084706611801042,2.190575682703545,0.2502929574997709,1.2804242965558077
1,2,-0.2367748373964872,-0.1809041024701898,-0.7530781535144208,0.6824244127959399,-0.4401950631037955,-0.1685198381466084,-1.631980632727981,1.3215985608073948,-1.6535839706683255,0.8768464769044763
1,3,-0.2367749047811192,-0.1809051678391992,-0.7618095896806457,0.6824244127959399,-0.4372045709310483,-0.1685198381098621,-1.33825563789282,1.289903346634896,-1.3753250350129882,0.9149198561168704
1,4,-0.2367750306055203,-0.1809050574724531,-0.7791855820512426,0.6824244127959399,-0.425695707114718,-0.1685198389277877,-0.6539388946066451,1.1182209365338338,-0.7924457908507613,1.0634060350451835
1,5,-0.2367750306055203,-0.180904851810971,-0.7791855820512426,0.6824244127959399,-0.4152289845101027,-0.1685198419386684,-0.6320657566933882,2.050588486774986,-0.7367940037196886,1.0938647384151006
2,1,-0.0372385919929555,-0.1537921118035598,1.516747729856649,0.6794273011125342,-0.2642997507612991,-0.1443864208634445,0.5584578925852992,-1.0634663056735136,1.199302380155862,-0.2653548994672234
2,2,-0.0325318140030395,-0.1597651537395575,1.5254357260419475,0.677554106310406,-0.2346515884627999,-0.1527101316876157,0.4615911389694482,-0.7834919138163913,0.6779330059806049,-0.2881989269946549
2,3,0.0144847060829175,-0.1440249783186175,1.5689191469493664,0.6764301894291287,-0.2887976209845113,-0.1363306047503899,-0.3852117716723482,-0.6038857001722032,-0.6606389265929706,-0.3795750371043892
2,4,0.0263384027441415,-0.158498690025506,1.5602311507640678,0.6749316335874261,-0.3800378392449459,-0.1602738978629989,0.4897137448579207,-0.1865653802342375,-0.2124955881164743,-0.2348961960973064
2,5,-0.0278250360131235,-0.144382275606756,1.5515431545787697,0.677554106310406,-0.2468552130869402,-0.1362026273028276,-0.1039857127876186,-0.6725586642126286,-0.3677347837978729,-0.3110429545220863
3,1,-0.2367694853444123,-0.1809047218669889,-0.44869420716249,0.6031882726659062,-0.1989771313313405,-0.1685196942197254,0.6115783703746371,0.3469707250029089,0.3088737860587893,0.6636355533150906
3,2,-0.2367632763319018,-0.1809009348627702,-0.2312771026253965,0.654701129724439,-0.1422181940324309,-0.1685158810054449,0.2584834297749213,-0.012241702285467,-0.0308950195835171,0.3362044920885392
3,3,-0.2367435055020059,-0.1809003688508553,-0.1095582760693655,0.6438365998720939,-0.2468854200785841,-0.1685174287371612,-1.3976255836573734,-0.1865653802342375,-1.5100609406987302,0.3285898162460621
3,4,-0.2367644263004808,-0.1809030062843868,-0.2747605235328152,0.6359691817031544,-0.0903829963714787,-0.1685187770047743,0.1959887500227592,0.3733834034799954,0.0071825189798446,0.4618466434894291
3,5,-0.236765719599835,-0.1809034225740746,-0.3530393691623542,0.6303495972967688,-0.2365244219447224,-0.1685194647390659,0.6178278383498527,0.8223989375904658,0.537339017438961,0.7169382842124391
4,1,-0.236759116118882,-0.1809024914724931,-0.1095582760693655,0.5269492442192782,0.0125624311509714,-0.1685178082674531,0.4678406069446638,0.5741197599058532,0.6896491716924089,0.4009292367496035
4,2,-0.2367044576412266,-0.1808962558677691,0.0556874113750108,0.6689374102206148,-0.1408588794084549,-0.1685132194727031,0.1053714643821237,0.1964184576835165,-0.0719015995748303,0.2524430578212821
4,3,-0.2367598918088513,-0.1809023366439687,-0.2400085387916214,0.605998064869099,-0.1146392106615397,-0.1685185069433938,0.4772148089074888,0.3047104394395709,0.4260354431768261,0.454231967646952
4,4,-0.2367587100008208,-0.1808999624300017,-0.0529994209030725,0.6262285687320862,-0.1133101030292076,-0.1685158552324395,0.6303267743002855,0.3099929751349883,0.7101524616880648,0.3209751404035849
4,5,-0.2367644263004808,-0.1809003544038715,-0.0834508475325436,0.6352199037823031,-0.0191095995876697,-0.1685157566365668,0.4615911389694482,0.6110975097737739,0.6603587574128997,0.3514338437734935
5,1,-0.2367753453794961,-0.1809047087934174,-0.8400449953292582,0.6824244127959399,-0.5370084713225318,-0.168519827812429,-3.516195227255668,0.3126342429826966,-3.311421418888545,-0.7869601946769677
5,2,-0.2367753453794961,-0.1809036247950188,-0.8400449953292582,0.6824244127959399,-0.5341690141080042,-0.168519827812429,-3.566190971057398,0.2201898683128939,-3.32899566745625,-0.7641161671495277
5,3,-0.2367753453794961,-0.1809045850755003,-0.8400449953292582,0.6824244127959399,-0.5393646166707569,-0.168519827812429,-3.603687778908695,0.0009646369530762,-3.32899566745625,-0.7526941533858119
5,4,-0.2367753453794961,-0.1809031592558388,-0.8400449953292582,0.6824244127959399,-0.5405124823532256,-0.168519827812429,-3.6161867148591273,-0.1522288982140253,-3.314350460316496,-0.7755381809132434
5,5,-0.2367753453794961,-0.1809047548128323,-0.8400449953292582,0.6824244127959399,-0.5422342808769285,-0.168519827812429,-3.656808256698033,-0.3159875047719609,-3.3407118331680543,-0.7793455188344904
6,1,-0.2295555616441399,-0.1798633461659736,0.8818724086159656,0.5910125064520714,-0.2887070000095796,-0.168110397157491,-1.3601287758060767,-0.3556065224875906,-1.4631962778515155,0.1686816235540249
