f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,disp.diff_mean_05,ic.eps.s,disp.ratio_median_05
1,1,-0.2367745868706842,-0.1809045411169521,0.7228824951741755,-0.41294891480322,-0.7739025109046733,-0.1685198286391383,0.3821630471821078,-1.4497994910407006,-0.8538063585246185,-1.3492285327834856
1,2,-0.2367742789544749,-0.1809039229176714,0.7228824951741755,-0.4486037764206561,-0.7307757829763657,-0.1685198187585055,-1.671399316191106,-1.0043117612562735,-0.8128402881414282,-0.9401250427968042
1,3,-0.2367743463390984,-0.1809049882866473,0.7228824951741755,-0.4456047693687223,-0.7394355954774545,-0.1685198187217592,-1.3757869698556044,-0.9949613993635932,-0.8210253171890187,-0.9293591614813652
1,4,-0.2367744721634838,-0.1809048779199046,0.7228824951741755,-0.4340631361688555,-0.7566690531910639,-0.1685198195396847,-0.6870730991377864,-1.1774530965958545,-0.8374363004294375,-1.0965136345368656
1,5,-0.2367744721634838,-0.180904672258429,0.7228824951741755,-0.4235666114870869,-0.7566690531910639,-0.1685198225505654,-0.6650594137723764,-1.2390286505232604,-0.8374363004294375,-1.1520429171112352
2,1,-0.0372380585333476,-0.1537919331037753,0.7203165600484535,-0.2722076343659999,1.5204307981524323,-0.1443864015520147,0.5331140325449233,0.524632048521936,1.432108553886452,0.5404669507422504
2,2,-0.0325312811327311,-0.1597649748519072,0.7187128505948774,-0.24247505435112,1.5290475270092372,-0.152710112349741,0.4356248544981091,0.5238110411362371,1.4075125415984426,0.538767074745076
2,3,0.0144852330666476,-0.1440247999260317,0.7177506249227315,-0.296775257791438,1.5721742549375448,-0.1363305854645538,-0.4166192503627529,0.5799588240137462,1.4730746242696422,0.6039289879701017
2,4,0.026338928243761,-0.1584985111776889,0.7164676573598706,-0.3882752658759458,1.56355752608074,-0.1602738785010937,0.4639281642536354,0.5748047220924151,1.3747724254080806,0.5880634786631396
2,5,-0.0278245037321148,-0.1443820972029323,0.7187128505948774,-0.2547134265630523,1.5549407972239355,-0.1362026080173981,-0.1335861528074849,0.537768166693116,1.4976706365576518,0.5625653387055212
3,1,-0.2367689269030701,-0.1809045423144509,0.6550455852879016,-0.2066990207315857,-0.4288886874782128,-0.1685196748316229,0.5865758398609185,-0.8267004968167775,-0.4195496424047053,-0.797902084366532
3,2,-0.236762717891337,-0.1809007553103513,0.6991475952612476,-0.1497784727458912,-0.2132550478366749,-0.1685158616173545,0.2312120618193045,-0.6989882368191941,-0.0590809631488204,-0.6556791259362584
3,3,-0.2367429470639164,-0.1809001892984542,0.6898460804305055,-0.2547437195635769,-0.092534676552841,-0.1685174093490659,-1.435538401561716,-0.4520018482881541,-0.1246021206747822,-0.4409281249598714
3,4,-0.236763867859772,-0.1809028267319028,0.6831105007254854,-0.0977956838457039,-0.2563817757649825,-0.1685187576166747,0.1683158179181338,-0.7006758631120195,-0.2147192904887535,-0.6772108885671365
3,5,-0.2367651611589642,-0.1809032430215775,0.6782993723647567,-0.2443532203836443,-0.3340185027647929,-0.1685194453509642,0.5928654642510349,-0.8970790743797313,-0.378583572021515,-0.8698635015802553
4,1,-0.236758557678838,-0.1809023119200253,0.5897746105273498,0.0054428619420804,-0.092534676552841,-0.1685177888793566,0.4419144788882255,-0.8003826489529899,-0.0426699799084014,-0.770704068411738
4,2,-0.2367038992080259,-0.1808960763154974,0.7113357871084266,-0.1484152877222849,0.0713555063035846,-0.1685132000846212,0.077116264261436,-0.650731247148679,0.0802282312411696,-0.6279144846490742
4,3,-0.2367593333687102,-0.1809021570915058,0.657451149468266,-0.1221209632669454,-0.2219148603377636,-0.1685184875552951,0.4513489154734018,-0.7793101260533888,-0.1983492323935725,-0.7457725537865111
4,4,-0.2367581515608276,-0.1808997828776134,0.674771211566889,-0.1207880712438637,-0.0364397716950422,-0.1685158358443492,0.6054447130312695,-0.7935865322602614,-0.0098889385728016,-0.7599381870962989
4,5,-0.236763867859772,-0.1809001748514709,0.682469016944055,-0.0263193491079465,-0.0666414063381427,-0.1685157372484768,0.4356248544981091,-0.7595147257537633,0.0228511776175603,-0.7180079124993256
5,1,-0.2367747869374202,-0.1809045292408798,0.7228824951741755,-0.5456928431019498,-0.817029238832981,-0.1685198084243261,-3.5677210698114,0.5812359466137221,-0.9029574579553994,0.5931631066546627
5,2,-0.2367747869374202,-0.1809034452425154,0.7228824951741755,-0.5428453010526388,-0.817029238832981,-0.1685198084243261,-3.6180380649323367,0.4931144872153895,-0.9029574579553994,0.5025030534720186
5,3,-0.2367747869374202,-0.1809044055229667,0.7228824951741755,-0.5480556971428674,-0.817029238832981,-0.1685198084243261,-3.655775811273039,0.5591599702427111,-0.9029574579553994,0.5738978453533504
5,4,-0.2367747869374202,-0.18090297970335,0.7228824951741755,-0.5492068311628016,-0.817029238832981,-0.1685198084243261,-3.6683550600532726,0.5643596836854698,-0.9029574579553994,0.5642652147026943
5,5,-0.2367747869374202,-0.1809045752602933,0.7228824951741755,-0.5509335321927029,-0.817029238832981,-0.1685198084243261,-3.709237618589034,0.5734363764495838,-0.9029574579553994,0.5812639746744407
6,1,-0.2295550041059978,-0.1798631666461893,0.6446214738396563,-0.2966843787898643,0.8907633369414282,-0.1681103777706888,-1.3978006552210145,-0.144625805386828,0.760281369660225,-0.1428832001219292
6,2,-0.2301909607590893,-0.1800137992620485,0.6204054610906553,-0.2797505914966214,0.8649131503710142,-0.1682681725642787,-1.070740186934927,-0.3274823947905106,0.7438703864198061,-0.3383689397970053
6,3,-0.2298803101908856,-0.1797705346123055,0.6300277178121126,-0.3209490722100565,0.8907633369414282,-0.1682449279514502,-1.294021852784083,-0.371451901446821,0.760281369660225,-0.3672668317489724
