f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_level.mmce_lda_10,nbc.nb_fitness.cor,disp.ratio_mean_02,ic.eps.s
1,1,-0.2367745368436503,-0.1809046018285033,0.7216190119281817,-0.7715472738959822,-0.1685197751960875,-0.3985557965593593,0.3939592510437995,-0.4409142565309841,-1.4012800965786216,-0.8441749752257286
1,2,-0.2367742289274445,-0.180903983629216,0.7216190119281817,-0.7284347740855174,-0.1685197653154547,-0.4340637943341524,-1.662510230197299,0.0294140119852061,-1.0298714074349464,-0.8032957640796139
1,3,-0.2367742963120672,-0.1809050489982032,0.7216190119281817,-0.7370917295919144,-0.1685197652787085,-0.4310771403157119,-1.3664794013509534,0.0027998891841972,-1.0540431869536842,-0.8114634386342822
1,4,-0.2367744221364512,-0.1809049386314593,0.7216190119281817,-0.7543195017439484,-0.168519766096634,-0.4195830475780771,-0.6767905554217006,-0.1433596376738019,-1.1995387059799298,-0.8278396261163921
1,5,-0.2367744221364512,-0.1809047329699815,0.7216190119281817,-0.7543195017439484,-0.1685197691075147,-0.4091297585135351,-0.6547457064650577,-0.1451048260541967,-1.260897838604416,-0.8278396261163921
2,1,-0.0372380107439211,-0.1537919935269884,0.7190545636815908,1.5220291021346706,-0.1443863483203103,-0.2583942352495134,0.5451239296036419,0.7344701176643926,0.5412942612829718,1.436893174402026
2,2,-0.0325312333960866,-0.1597650353386427,0.7174517835274717,1.5306429882106878,-0.1527100590451424,-0.2287841249555801,0.4474967413670812,0.4033206224846263,0.5868487688375151,1.4123493123652475
2,3,0.0144852802760478,-0.144024860245373,0.7164901154349999,1.5737554880211528,-0.1363305323033976,-0.282860663622799,-0.405953839668661,0.7048019151976941,0.5687199341984621,1.4777723855481404
2,4,0.0263389753202336,-0.1584985716509557,0.7152078913117046,1.5651416019451356,-0.1602738251302561,-0.373983779407644,0.47584011859705,-0.4806172921849481,0.519911533247166,1.3796786141465749
2,5,-0.0278244560482522,-0.1443821575260734,0.7174517835274717,1.5565277158691189,-0.1362025548573626,-0.2409720868086102,-0.1225200673689678,0.7078559948633838,0.5724386695090377,1.5023162475849186
4,1,-0.2367585076519839,-0.1809023726315528,0.5885882591362825,-0.090404232434942,-0.1685177354363236,0.0181126072355045,0.453795269640407,0.2837752184276351,-0.7202866928295825,-0.0347584268581029
4,2,-0.2367038491817848,-0.1808961370269586,0.7100789948185228,0.0734318807309005,-0.1685131466416284,-0.1351117943772178,0.0884806297874696,0.4094287818160051,-0.6161621041334828,0.0878792065802411
4,3,-0.2367592833418474,-0.1809022178030316,0.6562255816401157,-0.2197417318663364,-0.168518434112256,-0.1089257773266481,0.4632430620503975,0.248435153724656,-0.7690950937808786,-0.1901075968878935
4,4,-0.2367581015339781,-0.180899843589114,0.6735356073046036,-0.0343278340800715,-0.1685157824013333,-0.1075983755406745,0.6175570047468966,0.4622207303229245,-0.7663060422979476,-0.0020468902666566
4,5,-0.2367638178328583,-0.1809002355629757,0.6812289520443763,-0.0645195047765109,-0.1685156838054618,-0.0135187739597975,0.4474967413670812,0.7104737774339756,-0.7207515347434033,0.0306238079520164
5,1,-0.2367747369103841,-0.1809045899524309,0.7216190119281817,-0.814659773706447,-0.1685197549812755,-0.5307529471533639,-3.5615165046052413,0.2877018922835226,0.5598879378358476,-0.8932218609265115
5,2,-0.2367747369103841,-0.1809035059540549,0.7216190119281817,-0.814659773706447,-0.1685197549812755,-0.5279171342469657,-3.611904730791853,0.3051537760874629,0.4367048306730512,-0.8932218609265115
5,3,-0.2367747369103841,-0.1809044662345164,0.7216190119281817,-0.814659773706447,-0.1685197549812755,-0.5331060685012261,-3.649695900431812,0.2619603636727107,0.4957397537284284,-0.8932218609265115
5,4,-0.2367747369103841,-0.1809030404148846,0.7216190119281817,-0.814659773706447,-0.1685197549812755,-0.5342524609527487,-3.662292956978465,0.2850841097129309,0.4803999705723074,-0.8932218609265115
