f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.lin_simple.coef.max,ic.eps.s,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.mean_ratio
1,1,-0.2365158164100192,-0.7345821036207573,0.7233090549151244,-0.1808803643527524,-0.4033886728498242,-0.1685113564556069,-0.8114757654582949,0.3781819234519322,0.2065855826145462,1.2063894176644971
1,2,-0.236515508511459,-0.6908310752568954,0.7233090549151244,-0.1808797461560857,-0.4389307454631972,-0.1685113465749877,-0.7701619972259495,-1.6570460786709806,-1.6865457524887113,0.8740680084325955
1,3,-0.2365155758922202,-0.699616246786502,0.7233090549151244,-0.1808808115205566,-0.4359412253368388,-0.1685113465382415,-0.7784164963732713,-1.36407298188759,-1.4098573265890042,0.9054190847752314
1,4,-0.2365157017093936,-0.7170991752036296,0.7233090549151244,-0.1808807011542807,-0.4244361024263076,-0.1685113473561659,-0.7949667671636513,-0.6815080010837318,-0.8302678870727818,1.0276882825114912
1,5,-0.2365157017093936,-0.7170991752036296,0.7233090549151244,-0.1808804954936747,-0.413972781984053,-0.1685113503670425,-0.7949667671636513,-0.6596908555785854,-0.7749302018928352,1.0527691435856013
2,1,-0.0369907250843269,1.592963863872484,0.7207426107287825,-0.1537678709849954,-0.2630926071219301,-0.1443779628533376,1.493840756405728,0.5277852069157976,1.1502387404198562,-0.0664642818463775
2,2,-0.0322842174662329,1.601705328081048,0.7191385831123192,-0.1597408874761738,-0.2334540818287902,-0.1527016621020103,1.469035986468026,0.431166419678722,0.631812005576201,-0.0852749276519549
2,3,0.0147296018460249,1.64545635644491,0.7181761665424407,-0.1440007791074868,-0.287582514419675,-0.1363221579432295,1.5351545246380731,-0.4134687848776506,-0.6992049484887108,-0.1605175108742713
2,4,0.0265826175944097,1.636714892236346,0.71689294444927,-0.1584744291571858,-0.3787930754466022,-0.1602654177587239,1.4360179898787389,0.4592170353281951,-0.2535909573028612,-0.0413834207722674
2,5,-0.027577709848139,1.6279734280277824,0.7191385831123192,-0.1443580748735591,-0.2456537397181723,-0.136194180673641,1.5599592945757752,-0.1329626283829142,-0.4079539738574345,-0.1040855734575322
3,1,-0.2365101567668225,-0.3845738767098625,0.655458686738713,-0.1808803655502461,-0.1977912205234431,-0.1685112026483049,-0.3735333131971385,0.5807697031425813,0.2648357775408003,0.6985019809138524
3,2,-0.2365039481109768,-0.1658187348905532,0.6995694461914629,-0.1808765785621598,-0.141050732468619,-0.1685073894393273,-0.010005170749088,0.228578639988079,-0.0730153530314732,0.4288827243672156
3,3,-0.2364841784167783,-0.0433508213285744,0.6902660860159738,-0.1808760125526561,-0.2456839368911658,-0.1685089371688912,-0.0760824364233987,-1.4232909482587004,-1.5438327749193883,0.4226125090986898
3,4,-0.236505098013498,-0.2095697632544151,0.6835291700268266,-0.1808786499749524,-0.0892323836117385,-0.1685102854346293,-0.1669644720354114,0.1662439385448042,-0.0351527263294082,0.5323412762979051
3,5,-0.2365063912385611,-0.2883303557735749,0.6787170871774355,-0.1808790662628668,-0.2353263065543885,-0.1685109731679646,-0.3322195449647931,0.587003173286908,0.4920115377531913,0.7423934877935399
4,1,-0.2364997881369324,-0.0433508213285744,0.5901747627486434,-0.1808781351652517,0.0136795819501776,-0.1685093166986553,0.0065451000412921,0.4373998898230488,0.6434620445614522,0.4821795541496917
4,2,-0.2364451327990283,0.1229118279183092,0.7117600560765862,-0.180871899587091,-0.1396918596839106,-0.1685047279102868,0.1304864047383284,0.0758586214520555,-0.1137904894798514,0.3599103564134249
4,3,-0.2365005637823437,-0.1746039064201598,0.6578647281634086,-0.1808779803373869,-0.1134807135255351,-0.1685100153736244,-0.1504554737407679,0.4467500950395407,0.3813361673933086,0.5260710610293793
4,4,-0.2364993820421999,0.013556110669176,0.6751882264212156,-0.1808756061335339,-0.1121520379138203,-0.1685073636663577,0.0396043691263157,0.5994701135755633,0.6638496127856405,0.4163422938301639
4,5,-0.236505098013498,-0.01708272138184,0.6828875589802412,-0.1808759981057339,-0.0179821539335281,-0.1685072650706222,0.0726223657156028,0.431166419678722,0.6143369470983251,0.4414231549042671
5,1,-0.2365160164652878,-0.7783331319846191,0.7233090549151244,-0.1808803524767303,-0.535712684907429,-0.1685113362408228,-0.861044032837962,-3.536437327185713,-3.335026268901702,-0.4959740277404429
