f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,nbc.nn_nb.sd_ratio,ela_meta.lin_simple.coef.min
1,1,-0.2367747224794083,-0.1809046158235659,-0.7744304871819511,-0.3661060121643477,0.6978093828289011,-0.1685198108078104,0.3930873580414459,2.136741497343473,1.990271581829524,-0.134109701142869
1,2,-0.2367744145631897,-0.1809039976242771,-0.7312952394166733,-0.4023831627004273,0.6978093828289011,-0.1685198009271776,-1.6472012203469106,1.3335182705653552,1.2971218670172329,-0.1341096605506183
1,3,-0.2367744819478153,-0.1809050629932669,-0.7399567626942166,-0.399331813589916,0.6978093828289011,-0.1685198008904314,-1.353499648572782,1.3042213747558238,1.3190949127317433,-0.1341096974435853
1,4,-0.2367746077722045,-0.1809049526265228,-0.7571936249380838,-0.3875887427706753,0.6978093828289011,-0.1685198017083569,-0.669237476035184,1.1455298557875035,1.1752713407822193,-0.1341096981080296
1,5,-0.2367746077722045,-0.1809047469650445,-0.7571936249380838,-0.3769090208838854,0.6978093828289011,-0.1685198047192376,-0.6473660823924295,2.0073468741846883,1.8784088036465565,-0.1341096919201368
2,1,-0.0372381880755618,-0.1537920074555852,1.5203560754997014,-0.2229083559276219,0.6952654186188068,-0.1443863837912031,0.5430626287346241,-0.8710731391022312,-0.5526090722224835,-0.1338550325379915
2,2,-0.0325314105318452,-0.1597650492818822,1.5289745066216351,-0.1926568493420975,0.6936754409874979,-0.1527100945646081,0.446203599745284,-0.6122838927846576,-0.3948026530000883,-0.1338749914599014
2,3,0.0144851050969768,-0.1440248741500258,1.572109754386913,-0.2479047612672656,0.6927214544087122,-0.1363305677272809,-0.4005317827099174,-0.4462681498639534,-0.3788222561168079,-0.13380986269161
2,4,0.0263388006344782,-0.1584985855910905,1.5634913232649792,-0.3410017308460495,0.6914494723036652,-0.16027386069386,0.4743239630002533,-0.0605256883717295,-0.1810648446862121,-0.1336693201373109
2,5,-0.0278246329881287,-0.1443821714316022,1.5548728921430457,-0.2051088194496389,0.6936754409874979,-0.1362025902804991,-0.1193281501602193,-0.5097447574512819,-0.4147781491041889,-0.1337945991554052
