f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ic.eps.s,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.mean_ratio
1,1,-0.2366137365105274,-0.1808914910311606,-0.7357886019737772,-0.3854276625872292,0.6815471173013756,-0.1685182885594265,-0.811661391737422,0.2502929574997709,0.4084706611801042,1.228103630143986
1,2,-0.2366134286053406,-0.1808908728332919,-0.692160068028267,-0.4209232933081118,0.6815471173013756,-0.1685182786787961,-0.7703637800131066,-1.6535839706683255,-1.631980632727981,0.8926809905254356
1,3,-0.2366134959875519,-0.1808919381998344,-0.7009206427765663,-0.4179376795091591,0.6815471173013756,-0.1685182786420499,-0.7786150510868959,-1.3753250350129882,-1.33825563789282,0.9243246357724724
1,4,-0.2366136218074331,-0.1808918278333438,-0.7183546223751717,-0.4064475900404622,0.6815471173013756,-0.1685182794599752,-0.7951588495898434,-0.7924457908507613,-0.6539388946066451,1.0477348522358954
1,5,-0.2366136218074331,-0.1808916221723379,-0.7183546223751717,-0.3959979417441276,0.6815471173013756,-0.1685182824708552,-0.7951588495898434,-0.7367940037196886,-0.6320657566933882,1.0730497684335265
2,1,-0.0370843509950282,-0.1537789449460178,1.5852406869375566,-0.2453149180424366,0.6790060716294327,-0.1443848675621302,1.492753593750454,1.199302380155862,0.5584578925852992,-0.0566283668855626
2,2,-0.0323777420832227,-0.1597519730510972,1.5939576767368595,-0.215715120631607,0.6774179180844686,-0.1527085762594519,1.4679585241737172,0.6779330059806049,0.4615911389694482,-0.0756145540337804
2,3,0.0146370890629971,-0.1440118340774284,1.6375862106823695,-0.2697728250217364,0.6764650259574898,-0.1363290535074734,1.5340512054747693,-0.6606389265929706,-0.3852117716723482,-0.1515593026266589
2,4,0.0264903599126279,-0.1584855122696145,1.6288692208830666,-0.3608642036049361,0.6751945031215185,-0.1602723405021644,1.43495343987856,-0.2124955881164743,0.4897137448579207,-0.0313134506879317
2,5,-0.0276711331714173,-0.1443691305382247,1.6201522310837642,-0.2278988375485456,0.6774179180844686,-0.1362010760926115,1.5588462750515062,-0.3677347837978729,-0.1039857127876186,-0.0946007411819983
3,1,-0.2366080767455235,-0.1808914922286567,-0.386760330409697,-0.1800988590501607,0.6143682223493875,-0.1685181347519499,-0.3738902049175306,0.3088737860587893,0.6115783703746371,0.7154765771420478
3,2,-0.2366018679560548,-0.180887705233207,-0.1686176606821468,-0.1234325123003404,0.6580424448359047,-0.1685143215386438,-0.0105042268278498,-0.0308950195835171,0.2584834297749213,0.4433412280175638
3,3,-0.2365820978363718,-0.1808871392226028,-0.046492633593916,-0.2279289952636865,0.648831154275112,-0.1685158692699646,-0.0765556517735331,-1.5100609406987302,-1.3976255836573734,0.4370124989681578
3,4,-0.2366030178833243,-0.1808897766500272,-0.2122461946276568,-0.0716818731184927,0.6421609093862621,-0.1685172175372331,-0.1674021462959534,0.0071825189798446,0.1959887500227592,0.547765257332776
3,5,-0.2366043111362202,-0.180890192938751,-0.2907862727193742,-0.2175848989703451,0.6373964487513691,-0.1685179052713491,-0.3325925931932152,0.537339017438961,0.6178278383498527,0.7597776804878965
4,1,-0.2365977078924792,-0.1808892618393255,-0.046492633593916,0.03109562008182,0.5497303730693422,-0.1685162488001595,0.0060395716750977,0.6896491716924089,0.4678406069446638,0.4971354249375214
4,2,-0.2365430513782799,-0.1808830262490404,0.1193045123888214,-0.1220754151189982,0.6701124117776328,-0.168511660006582,0.1299324068480441,-0.0719015995748303,0.1053714643821237,0.3737252084740913
