f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,nbc.nb_fitness.cor,nbc.dist_ratio.coeff_var
1,1,-0.2367751814738077,-0.1809047184027699,0.6794143111193759,-0.8025023781476435,-0.3846673008641717,-0.1685198476611431,0.4084706611801042,2.176173065768868,-0.4545780292635475,-1.3189777382599912
1,2,-0.2367748735575575,-0.1809041002034699,0.6794143111193759,-0.7588975059693714,-0.4201674094498746,-0.1685198377805102,-1.631980632727981,1.3631514905561657,0.0141912653270839,-0.9600017184076476
1,3,-0.2367749409421899,-0.1809051655724789,0.6794143111193759,-0.7676533294537198,-0.4171814190080865,-0.1685198377437639,-1.33825563789282,1.3334972081775915,-0.0123346409530909,-0.9874044680146968
1,4,-0.2367750667665921,-0.1809050552057328,0.6794143111193759,-0.7850778538006816,-0.4056898800351444,-0.1685198385616895,-0.6539388946066451,1.172869845293624,-0.1580097000327392,-1.135379315892762
1,5,-0.2367750667665921,-0.1809048495442508,0.6794143111193759,-0.7850778538006816,-0.3952389134888861,-0.1685198415725702,-0.6320657566933882,2.045199985263478,-0.1597491037232433,-1.1518209656569918
2,1,-0.0372386265362837,-0.1537921095476051,0.6768723115698561,1.5172681094742495,-0.2445368807374292,-0.1443864204987941,0.5584578925852992,-0.8683332584318756,0.7169103562904051,0.1470693657171375
2,2,-0.0325318485082074,-0.1597651514812312,0.6752835618514065,1.525980371647731,-0.2149333492362674,-0.152710131322466,0.4615911389694482,-0.6063870974210924,0.3868585060174096,0.1552901905992521
2,3,0.0144846719589365,-0.1440249760665411,0.6743303120203363,1.569585243826003,-0.2689978731444004,-0.1363306043862228,-0.3852117716723482,-0.4383461639424802,0.6873404935518493,0.2046151398919404
2,4,0.0263383687162644,-0.1584986877676825,0.6730593122455766,1.5608729816525218,-0.3601007431385514,-0.1602738974973954,0.4897137448579207,-0.0478981126245289,-0.4941494632224969,0.1087055162672683
2,5,-0.0278250704801312,-0.1443822733545377,0.6752835618514065,1.552160719479041,-0.227118603160332,-0.1362026269386682,-0.1039857127876186,-0.5025971090960677,0.6903844500102303,0.1552901905992521
3,1,-0.2367695215054391,-0.1809047196002687,0.6122101980289485,-0.453663400721468,-0.1793125945721084,-0.1685196938536272,0.6115783703746371,0.4512823074148775,-0.3136863303327827,-0.7462602714726647
3,2,-0.2367633124928783,-0.1809009325960515,0.6559008152863187,-0.2356390398301082,-0.1226390992173625,-0.168515880639347,0.2584834297749213,0.1152004404576532,0.8425822729292666,-0.4914147001271077
3,3,-0.2367435416628221,-0.1809003665841368,0.6466860669193096,-0.1135802467796408,-0.227148764679946,-0.1685174283710631,-1.3976255836573734,-0.0478981126245289,0.1476904985732097,-0.4557911256379439
3,4,-0.2367644624614666,-0.1809030040176674,0.6400133181018205,-0.2792439120083802,-0.0708819315597021,-0.1685187766386761,0.1959887500227592,0.4759942093970264,0.2368349377115021,-0.5791034988696705
3,5,-0.2367657557608313,-0.1809034203073549,0.6352470689464708,-0.3577413941914431,-0.2168033634523367,-0.1685194643729678,0.6178278383498527,0.8960965430935571,-0.3763048631909003,-0.792844945804648
4,1,-0.2367591522798247,-0.1809024892057739,0.5475480844880408,-0.1135802467796408,0.031908527284882,-0.1685178079013551,0.4678406069446638,0.6638046644613582,0.2677093532179352,-0.4996355250092223
4,2,-0.2367044938017262,-0.1808962536010523,0.667975313146537,0.052126979759966,-0.1212818308347316,-0.1685132191066053,0.1053714643821237,0.3104244661166295,0.3929464189341709,-0.3927648015417302
4,3,-0.2367599279698004,-0.1809023343772495,0.6145933226066232,-0.2443948633144566,-0.0951016318097612,-0.1685185065772957,0.4772148089074888,0.4117432642434396,0.232486428485244,-0.5626618491054353
4,4,-0.2367587461617602,-0.1808999601632834,0.6317518195658812,-0.05686342003028,-0.0937745249467442,-0.1685158548663415,0.6303267743002855,0.4166856446398695,0.4455633805718948,-0.4530508506772439
4,5,-0.2367644624614666,-0.1809003521371531,0.6393778182144406,-0.0873998989483306,0.0002841739695808,-0.1685157562704689,0.4615911389694482,0.6984013272363662,0.6929935555459859,-0.4722327754021732
