f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.mean_ratio,nbc.nb_fitness.cor
1,1,-0.2367751327027623,-0.792067638175949,-0.1809047046084724,0.7108307716454281,-0.3840057994580214,-0.1685198414594655,0.3832938351228347,0.2055306319080099,1.177296905841634,-0.4185962484476492
1,2,-0.2367748247865154,-0.7486688872413153,-0.1809040864091739,0.7108307716454281,-0.4195182373509332,-0.1685198315788326,-1.663165500003337,-1.6998910145168669,0.8481473615144504,0.0549137104005896
1,3,-0.2367748921711471,-0.7573833217446734,-0.1809051517781803,0.7108307716454281,-0.4165312098646135,-0.1685198315420863,-1.3685756416543926,-1.421406312347077,0.8791992053189053,0.0281195476086207
1,4,-0.2367750179955479,-0.7747254799603113,-0.1809050414114345,0.7108307716454281,-0.4050356798415044,-0.1685198323600119,-0.6822439503946178,-0.8380541467493127,1.0003013961562597,-0.119028723462028
1,5,-0.2367750179955479,-0.7747254799603113,-0.180904835749953,0.7108307716454281,-0.3945810836393856,-0.1685198353708926,-0.6603064077516112,-0.7823572063153494,1.0251428711998247,-0.1207857177434694
2,1,-0.0372385799471157,1.5167372404674575,-0.153792095818822,0.7082774752734784,-0.2438267115646751,-0.144386414321642,0.5337226989605997,1.1553100372028655,-0.0834079526190939,0.7647394001025878
2,2,-0.0325318019705068,1.5254083195752768,-0.1597651377380149,0.70668166504101,-0.2142128986573743,-0.1527101251368549,0.4365707243987139,0.633517647874213,-0.1020390589017627,0.431349735199236
2,3,0.0144847179825244,1.5688070705099106,-0.1440249623613591,0.7057241789015286,-0.2682961993566475,-0.1363305982172574,-0.4127255693519667,-0.7061403404583604,-0.1765634840324449,0.7348704973180976
2,4,0.0263384146102354,1.5601359914020916,-0.1584986740275266,0.704447530715554,-0.3594307096842094,-0.1602738913040977,0.4647761363682932,-0.2576333990691142,-0.0585664775755286,-0.4585678683504227
2,5,-0.0278250239938978,1.5514649122942727,-0.1443822596484923,0.70668166504101,-0.2264023845611436,-0.1362026207698328,-0.1306714496561685,-0.412998548700681,-0.1206701651844315,0.7379452373106188
3,1,-0.2367694727344556,-0.4448776306988792,-0.1809047058059712,0.6433279988120089,-0.1785797727852172,-0.1685196876519498,0.5869995882364728,0.2641589902595446,0.6742570362095207,-0.2762797116509616
3,2,-0.2367632637219626,-0.2278838760257105,-0.1809009188017632,0.6872127802048938,-0.1218865945347657,-0.1685158744376734,0.232864971285082,-0.0758854881793563,0.4072111794912401,0.8916822369366706
3,3,-0.2367434928921226,-0.1064020577251674,-0.1809003527898499,0.6779570808565762,-0.2264325565559549,-0.168517422169388,-1.4281204002568384,-1.5562515365556064,0.4010008107303505,0.1897630215011547
3,4,-0.2367644136905384,-0.2712826269603443,-0.180902990223374,0.6712546778802084,-0.0701114514385577,-0.1685187704369996,0.170186278019349,-0.0377770552508589,0.5096822640459324,0.2798089784249847
3,5,-0.2367657069898889,-0.3494090497217927,-0.1809034065130606,0.6664672471828026,-0.2160835623356755,-0.1685194581712905,0.5932674575630453,0.4928095878305299,0.7177296175357548,-0.3395315057828226
4,1,-0.2367591035089546,-0.1064020577251674,-0.1809024754114817,0.5783785223505394,0.0327147068783867,-0.1685178016996795,0.4428385937252865,0.6452433195445203,0.4599993139588086,0.3109956269205552
4,2,-0.2367044450314537,0.0585218669055487,-0.1808962398067752,0.6993409379716544,-0.1205288547682568,-0.1685132129049344,0.0793021727840359,-0.116925339025431,0.3388971231214475,0.4374992151842779
4,3,-0.2367598791989217,-0.2365983105290685,-0.1809023205829578,0.6457217141607118,-0.0943395632720396,-0.1685185003756195,0.4522403977151472,0.3814157069626141,0.5034718952850428,0.2754164927213833
4,4,-0.2367586973908945,-0.049953332733266,-0.1808999463689974,0.6629564646713719,-0.093011995500342,-0.1685158486646679,0.6058031962161923,0.6657632449675569,0.3947904419694609,0.4906482921978557
4,5,-0.2367644136905384,-0.0803454650061714,-0.1809003383428662,0.6706163537872211,0.0010793703187281,-0.1685157500687954,0.4365707243987139,0.615929140368753,0.4196319170130193,0.7405807287327804
5,1,-0.2367753327695228,-0.8354663891105829,-0.1809046927323997,0.7108307716454281,-0.5162194807211818,-0.1685198212446533,-3.5529281019651826,-3.3590735558652978,-0.5088182127400802,0.3149488640537976
