f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_distr.skewness,ela_meta.lin_simple.coef.min,ic.eps.s,ela_level.mmce_lda_10,nbc.nn_nb.cor,ela_meta.lin_simple.coef.max
1,1,-0.2267130708505561,-0.1796148624153725,0.7240576777303894,-0.7331033956965284,-0.4032894461906022,-0.1340960483678403,-0.8098464597166425,0.3970568511341841,2.078675156433984,-0.1675144749162797
1,2,-0.2267127632886582,-0.1796142443438781,0.7240576777303894,-0.6874792323733124,-0.438832204151748,-0.1340960077756625,-0.7669323596536325,-1.6422690661027928,1.2779963624031336,-0.1675144650371454
1,3,-0.2267128305957439,-0.1796153094926343,0.7240576777303894,-0.6966405279057464,-0.4358426263793152,-0.1340960446685632,-0.7755066054204677,-1.3487060703596438,1.2487922726512533,-0.1675144650004047
1,4,-0.2267129562753463,-0.1796151991487052,0.7240576777303894,-0.7148719618011374,-0.4243372816187404,-0.1340960453330064,-0.7926979681829721,-0.6647667504899664,1.0906034531618765,-0.1675144658182062
1,5,-0.2267129562753463,-0.1796149935297414,0.7240576777303894,-0.7148719618011374,-0.4138737594152255,-0.1340960391451247,-0.7926979681829721,-0.6429056763388806,1.9496904266964912,-0.1675144688286302
3,1,-0.2267074173957237,-0.1796148636126237,0.6561834184738952,-0.3681100891108009,-0.1976880293864721,-0.1340959986711606,-0.3549398505572026,0.6000525396799851,0.3799706025326766,-0.1675143211320915
3,2,-0.2267012155285435,-0.1796110773913259,0.7003097099527036,-0.1399892724947211,-0.1409464472208027,-0.134095999374329,0.022669933014218,0.2471523426696034,0.0489909186779808,-0.1675105084961535
3,3,-0.2266814674509146,-0.1796105114964277,0.6910030739317186,-0.0122780780575073,-0.2455816692559515,-0.1340959613054047,-0.0459669043492973,-1.4080432716268756,-0.1116315749573861,-0.1675120559931285
3,4,-0.2267023641737389,-0.1796131483846993,0.6842637857785915,-0.1856134358179371,-0.0891270991653003,-0.1340959799546529,-0.1403693502421526,0.1846921308093589,0.4043073439925807,-0.1675134040562525
3,5,-0.2267036559847644,-0.1796135645883238,0.6794500085263577,-0.2677460455166734,-0.2352238391959064,-0.1340959656344761,-0.3120257504941927,0.6062985608660088,0.8180319488109509,-0.1675140916862369
4,1,-0.226697060103096,-0.1796126336792372,0.590876507085259,-0.0122780780575073,0.0137868508190537,-0.134095954491805,0.0398612957767227,0.456394052401422,0.5892665790878525,-0.1675124354658578
4,2,-0.2266424645264053,-0.1796063993636549,0.7125046123250286,0.161102858287661,-0.1395875482333332,-0.1340958647552914,0.1686035959657527,0.0941248236120039,0.2412511762112236,-0.167507847367081
4,3,-0.2266978349004014,-0.1796124788827218,0.6585903071000121,-0.1491505680271551,-0.113375896652811,-0.1340960142651932,-0.1232208587084823,0.4657630841804594,0.3410318161968303,-0.1675131340358317
4,4,-0.2266966544523953,-0.1796101051595971,0.675919905208053,0.0470652392719904,-0.1120471954206187,-0.1340958862539001,0.0742011500728974,0.618790603238058,0.3458991644888112,-0.167510482727057
4,5,-0.2267023641737389,-0.1796104970524307,0.6836219488116271,0.0151146513703176,-0.0178754955889847,-0.1340959575246008,0.1084981331402381,0.4501480312153982,0.6233380171317179,-0.1675103841461382
5,1,-0.2267132706870804,-0.179614850541755,0.7240576777303894,-0.7787275590197443,-0.535616009814851,-0.1340960114300999,-0.8613348055464877,-3.5254444536891647,0.3483328386348014,-0.1675144547045334
5,2,-0.2267132706870804,-0.179613766767461,0.7240576777303894,-0.7787275590197443,-0.5327774208188037,-0.1340960114300999,-0.8613348055464877,-3.5754126231773604,0.2631542435251369,-0.1675144547045334
5,3,-0.2267132706870804,-0.1796147268494153,0.7240576777303894,-0.7787275590197443,-0.5379714347264648,-0.1340960114300999,-0.8613348055464877,-3.6128887502935063,0.0611592894079328,-0.1675144547045334
5,4,-0.2267132706870804,-0.1796133013245261,0.7240576777303894,-0.7787275590197443,-0.5391189494269946,-0.1340960114300999,-0.8613348055464877,-3.625380792665556,-0.0799938110595109,-0.1675144547045334
