f_id,i_id,ela_level.qda_mda_10,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ic.eps.ratio,ic.eps.max,ela_meta.quad_w_interact.adj_r2,disp.diff_median_25,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.intercept,disp.diff_mean_10,ela_meta.lin_w_interact.adj_r2,ela_level.lda_qda_25,ela_level.lda_qda_50,disp.diff_mean_05,disp.ratio_mean_05,ela_level.lda_mda_25,ela_level.qda_mda_50,ela_level.lda_mda_50,ela_meta.lin_simple.coef.max_by_min,disp.diff_median_02,disp.ratio_median_25,ic.h.max,pca.expl_var_PC1.cor_init,disp.diff_median_10,ela_meta.lin_simple.adj_r2,ela_level.lda_qda_10,disp.ratio_median_02,ela_level.mmce_mda_10,ela_level.mmce_lda_50
1,1,-0.2366559893248442,-0.134109716057432,-0.848593566802997,-0.1685198223631386,-0.7722706540660224,-0.2367745182952778,0.7234166767407978,-1.3691914438788686,1.1926486181528722,-0.1809046265022407,-1.424546490093907,0.1214007322262937,-0.0351640781061026,-0.2114172819980433,-1.4042998166396845,-1.4041361181275294,-0.2807557606905302,-0.5959493654912242,-0.242499632573707,-0.0242822782729507,-1.2595887972575175,-1.3701037414566353,0.8391572122066453,0.6352032655250645,-1.329779986108402,0.5626377971372932,0.0770399396465967,-1.2603503060089338,0.240939169069269,-0.2373061363589528
1,2,-0.2534953315734615,-0.1341096754651812,-0.807686440920811,-0.1685198124825058,-0.7291596699502685,-0.2367742103790733,0.7234166767407978,-0.724520310629506,1.1926486181528722,-0.1809040083029507,-0.890466201565538,0.92744073875681,-0.2381387503544369,-0.3708788480402949,-0.9633963904569608,-0.9632489132483688,-0.2824735776637085,-0.1944961506400145,-0.2577406102742691,-0.4251828016595105,-0.9193755204719424,-0.7245822528045933,0.6364585989787962,1.2445679393238334,-0.8281356505589066,1.396745770124456,0.2070420712540812,-0.9194861298640472,-1.659673208297538,-0.8774666875263619
1,3,-0.2703346738220794,-0.1341097123581483,-0.8158596928453237,-0.1685198124457596,-0.737816321106379,-0.2367742777636958,0.7234166767407978,-0.7766584793560569,1.1926486181528722,-0.1809050736719425,-0.9280751247438952,0.8728869697925902,-0.2167805397859326,-0.3644915141014675,-0.95414224871769,-0.9540995030303832,-0.2913338967885251,-0.167540059474945,-0.2554836710677399,-0.1910492094616221,-0.947576621016778,-0.7781969943869876,0.6747735807474736,1.2131573891280203,-0.8665751956202521,1.3393175431423057,0.2485487759239407,-0.94680901389143,-1.3818913992977735,-0.8060986484886506
1,4,-0.2241030251031467,-0.1341097130225926,-0.8322470629539717,-0.1685198132636851,-0.7550434875862007,-0.2367744035880792,0.7234166767407978,-0.98216905689734,1.1926486181528722,-0.1809049633051982,-1.0819806883458043,0.6117390461709693,-0.1592997180545894,-0.3255465196688955,-1.1347560101753615,-1.135372192974215,-0.2798516464941201,-0.2955814925090238,-0.2481552567030095,-0.1653136235780332,-1.070087284334833,-0.9819330124000896,0.6846613179780994,1.0205060145936975,-1.0051671278141707,1.0714288510880343,0.0906144594128403,-1.06998595008045,-0.8000116099193262,-0.61602296662942
1,5,-0.3260575881720509,-0.1341097068346998,-0.8322470629539717,-0.1685198162745658,-0.7550434875862007,-0.2367744035880792,0.7234166767407978,-1.0318566471910382,1.1926486181528722,-0.1809047576437195,-1.1405207681740208,0.6190021219206432,-0.1649617940106695,-0.3046546149106479,-1.1956979191900718,-1.195415197529743,-0.2869037372261168,-0.3393851406522619,-0.2489252712558255,-0.3204580429051811,-1.1297013754740424,-1.0323308694875428,0.7118525953623255,1.010035831195098,-1.066714519906655,1.0729098082308408,0.2033873928554771,-1.1295587955827753,-0.7444552481193681,-0.594504964909507
2,1,-1.628197998778802,-0.1338550474520541,1.4340322306749018,-0.1443863953008343,1.5212250873088429,-0.0372379930256031,0.7208501031051714,0.4733900295124474,1.187783082266974,-0.1537920180835438,0.5861317584609204,0.8593292283931983,0.531258533044527,-0.6365741973012369,0.5498137814557124,0.5498348015509306,0.4364780313213858,1.0411518140159282,-0.2591213260241459,4.57353943942553,0.5778240840479556,0.4731710741461231,-0.4882715110050049,1.2110633524483,0.5968298663636808,1.3301026986981783,1.057015847386549,0.577897498062836,1.1883213387105636,-1.5029232708518303
2,2,-0.1463358809004396,-0.1338750063740033,1.4094716086417411,-0.1527101060900004,1.529838670548754,-0.0325312156973484,0.7192459945829051,0.4623201752123206,1.1832216423739446,-0.1597650599210138,0.5539515042532489,0.2734411179194752,2.0776503156822588,-0.4453533875075939,0.5490012226688494,0.5486911252736825,1.1872544600201065,1.2676311156795916,-0.1200938709019441,3.094290759812349,0.6276260275633042,0.4624481258296428,0.1334199673706554,0.8006321632230123,0.5657804203528668,0.7215938637984889,-0.2837290279870247,0.6276161886700408,0.6678459492162749,-0.569759262931608
2,3,-1.8112875745001369,-0.1338098776055838,1.4749393565570876,-0.1363305792216583,1.572949654664508,0.0144852977792015,0.718283529469545,0.5733567290319119,1.187174890281237,-0.1440248847597144,0.6522831679799957,1.076091689100143,0.760536773341992,-0.6003793049812153,0.6045712152593005,0.6047312628588419,0.8360965061345296,0.6866310793181879,-0.2713884544172813,5.215068360149677,0.6148137628602061,0.5728944934893796,-1.2520992120709236,1.3450816999504347,0.670399956911507,1.5520817193254584,2.395672335103778,0.61507453698534,-0.6684307530247018,-1.6212722803113522
2,4,-1.0538233431714037,-0.1336693350510086,1.3767786009436904,-0.1602738722335744,1.5643360714245969,0.026338992774077,0.7170002426517319,0.3606634216012337,1.1862626023026308,-0.1584985962278532,0.5517688435330763,-0.7913257869827707,1.5557359218572693,0.6340173351828504,0.5994701517639949,0.5995847196112258,6.270455706495077,1.0685892639518035,0.5679274081520078,0.5162440057540484,0.55449376182,0.3595078219914452,0.3645458251365589,-0.1416843426513762,0.5641259205654343,-0.3769472345763975,1.3838485156045617,0.5541579430882255,-0.2210558395829705,0.4225792497183766
2,5,-1.8409860508295173,-0.1337946140693491,1.4994999785902483,-0.1362026017746342,1.5557224881846865,-0.0278244383690937,0.7192459945829051,0.5091346735502611,1.187174890281237,-0.144382182041959,0.5252411209340563,0.9184022444905487,0.5281766436000787,-0.6202953670543645,0.5628147220455172,0.5629870787392841,1.0915991780399463,0.8406658859757267,-0.2721584689700971,4.970041821463819,0.6156961502364526,0.5096290984221528,-0.8788371316147617,1.2655083061210417,0.536936974058629,1.3896700859977154,2.5179735372284897,0.6155224531169364,-0.3760288488144178,-1.5599459754095997
