f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,disp.diff_median_25,nbc.dist_ratio.coeff_var,disp.diff_mean_02,ela_level.lda_qda_50,ela_meta.quad_w_interact.adj_r2,disp.ratio_mean_10,ela_level.mmce_lda_50,nbc.nb_fitness.cor,ela_level.lda_mda_50,ela_level.qda_mda_10,ela_meta.quad_simple.adj_r2,disp.diff_median_10,pca.expl_var_PC1.cor_init,disp.ratio_mean_02,ela_level.mmce_lda_10,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_05,ela_level.mmce_mda_10,ic.h.max,ela_level.mmce_lda_25,disp.ratio_median_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,disp.ratio_median_02,ela_distr.number_of_peaks,ela_level.qda_mda_50,ela_level.mmce_qda_50
1,1,-0.2365158164100192,-0.1341070879148287,-0.7345821036207573,-1.435912477076974,-1.310046349870236,-1.4320100293360032,-0.2437598440112404,0.7233090549151244,-1.5011268277014522,-0.2360402078925888,-0.4571909652882212,-0.2568827910960712,-0.1779482174250736,1.2531669073718814,-1.3986030742194266,0.6458059857525321,-1.4321623149521758,0.3781819234519322,0.0817245528810471,-1.3748937278225282,0.2065855826145462,0.8500919598289857,-0.1221330048012665,-1.4368424218557094,0.1158905598819439,-0.0835480085352683,-1.3288064895003455,-0.6650089229551751,-0.5860512895617478,-0.1214511563557982
1,2,-0.236515508511459,-0.1341070473225919,-0.6908310752568954,-0.779466505882183,-0.9523638325025808,-1.0559703643696738,-0.4017010089281015,0.7233090549151244,-0.9550209097331418,-0.8740350157185598,0.0119003979791553,-0.2721297124053317,-0.1942348812248848,1.2531669073718814,-0.8869433603594178,1.2562770696802326,-1.0561991977803051,-1.6570460786709806,0.8703928544860062,-0.9616077981033392,-1.6865457524887113,0.646803710467724,-1.256888983624558,-0.7795330388059416,-0.9214467116018332,-0.2822417477262243,-0.9806146601653402,-0.6650089229551751,-0.1868383832113707,-0.5052607057548141
1,3,-0.2365155758922202,-0.1341070842155463,-0.699616246786502,-0.8325569717659406,-0.979667841461944,-1.0810817753661413,-0.395374575618497,0.7233090549151244,-0.9934076652401972,-0.802908423697625,-0.0146437329664011,-0.2698718930476886,-0.2105215450246967,1.2531669073718814,-0.9261503547042316,1.2248094880344749,-1.0806673856312907,-1.36407298188759,0.8170148236605207,-0.9507318525844132,-1.4098573265890042,0.6852301478469854,-1.1381440806737886,-0.8341268413848247,-0.8033452238404462,-0.2613340025712436,-1.0085249119254391,-0.6650089229551751,-0.1600327204348463,-0.4517824191290133
1,4,-0.2365157017093936,-0.1341070848799904,-0.7170991752036296,-1.0418211744066184,-1.127109489842504,-1.2278869473454883,-0.35680090585577,0.7233090549151244,-1.1505760792973905,-0.6134757916820707,-0.1604188783231455,-0.2625406207805179,-0.1658072498652133,1.2531669073718814,-1.0675092884036823,1.0318083206071564,-1.22794705481126,-0.6815080010837318,0.5614951376379289,-1.1195952172203705,-0.8302678870727818,0.6951466478158265,-0.7781985936042685,-1.041583291184584,-0.4768735952516429,-0.2050655072212625,-1.134349817401296,-0.6650089229551751,-0.2873596186233358,-0.3160298453865963
1,5,-0.2365157017093936,-0.1341070786920997,-0.7170991752036296,-1.0924163023477031,-1.143491895218122,-1.2904425924905336,-0.3361081969056055,0.7233090549151244,-1.2106911869782535,-0.5920305880576683,-0.1621594770736746,-0.2633109356201845,-0.2644155961440737,1.2531669073718814,-1.1302854802097255,1.0213191267252415,-1.2900586085868375,-0.6596908555785854,0.5686016802034518,-1.1756921993706204,-0.7749302018928352,0.7224170227301446,-0.7336692549977298,-1.092901465608737,-0.461076580965088,-0.2106081644938917,-1.1952033171405276,-0.6650089229551751,-0.330918820635188,-0.3147957310798469
2,1,-0.0369907250843269,-0.1338524193976032,1.592963863872484,0.4403235174049263,0.1507181294556844,0.5342951752143001,-0.6648630611817865,0.7207426107287825,0.5536510095347519,-1.4973756010678556,0.715102293192588,-0.2735109666005959,-1.5238188896095153,1.2482121458251658,0.5664717327270928,1.2227116492580912,0.5342330125337343,0.5277852069157976,0.8037492775382107,0.5341209198415914,1.1502387404198562,-0.4811981609880613,-0.1837319232069784,0.4400925108063358,-0.6009929932174323,0.4709281993835602,0.5489586453102521,0.9037300747852378,1.0419140515625125,-0.9857425425158542
2,2,-0.0322842174662329,-0.1338723783126436,1.601705328081048,0.4290514735949227,0.1589093321434931,0.5803575267462818,-0.4754654639755034,0.7191385831123192,0.5203342028682522,-0.5673686038896063,0.3848236802798434,-0.1344292941697788,-0.0905924752260831,1.2435670568751205,0.5348023814844386,0.8115352490868566,0.5803461357913605,0.431166419678722,0.2304881772526678,0.5324036652859717,0.631812005576201,0.1423017745528826,2.083553567509277,0.4291737502905577,0.1835920496814653,1.9847050767790624,0.5997461526114164,0.5115453253501346,1.2671294861402749,-0.1465448139263662
2,3,0.0147296018460249,-0.1338072495667682,1.64545635644491,0.5421160962387758,0.2080565482703464,0.561895439075802,-0.6290132724273613,0.7181761665424407,0.6210089012735495,-1.6153242210020695,0.6855121144336068,-0.2857828788739032,-1.7008993432874682,1.2475928006318264,0.6415106573411267,1.356973330946658,0.5619949949031215,-0.4134687848776506,1.015840092327049,0.5982317565847348,-0.6992049484887108,-1.2472477835811078,-1.740774463148944,0.5416369836030617,-1.7707242891980517,0.6953707388157169,0.5869348895084195,1.295914824220341,0.6893717187962629,-1.1321907735834316
2,4,0.0265826175944097,-0.1336667070608411,1.636714892236346,0.3255379720419888,0.1124925169125758,0.5123041170635478,0.5936138982183484,0.71689294444927,0.5181613676508703,0.421612703255751,-0.49678958686274,0.5538602963625607,-0.9682955934559372,1.2466637828418174,0.5331148494466417,-0.1324922002858799,0.5125880771270939,0.4592170353281951,-0.8113309628530424,0.5822040473989496,-0.2535909573028612,0.3740999613245674,0.9473132773991012,0.3243536493391016,-1.6225332504146546,1.4737983646362158,0.524708754436724,-0.0113676738966697,1.0691983868886186,-0.2934044164295267
2,5,-0.027577709848139,-0.1337919860358168,1.6279734280277824,0.476721032913564,0.1589093321434931,0.5654987036714488,-0.6487394429552252,0.7191385831123192,0.4913630666365099,-1.554205390672522,0.6885581622470315,-0.2865531937135696,-1.7296230958071364,1.2475928006318264,0.5053830729588464,1.277255457444071,0.5657593314955814,-0.1329626283829142,0.8615491570711331,0.5564452290646514,-0.4079539738574345,-0.8728999097573203,-1.4550445404236565,0.4772162965599779,-1.6526228014366642,0.4679113099820028,0.5873924346192407,0.9037300747852378,0.8425469346621154,-1.0523847150803136
