f_id,i_id,ic.eps.max,ic.eps.s,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,disp.diff_mean_02,ic.eps.ratio,ela_level.qda_mda_10,disp.diff_mean_25,ela_meta.lin_simple.coef.min,nbc.nb_fitness.cor,disp.diff_median_25,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_05,ela_level.lda_qda_50,ela_level.lda_mda_25,disp.ratio_median_02,disp.diff_median_05,ela_level.lda_qda_25,disp.ratio_mean_02,ela_level.mmce_qda_50,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_25,ela_meta.lin_w_interact.adj_r2,disp.diff_mean_10,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.quad_simple.adj_r2,disp.diff_mean_05,ic.h.max
1,1,-0.236775079552583,-0.8699970665667002,-0.1685198469700708,0.7013320126397528,-1.3976059173309754,-0.7899151116698321,-0.1466044464508119,-1.559130799925584,-0.1341097173387209,-0.5054263244969152,-1.4667484104655817,-1.4961904209428014,-1.5590050138976927,-1.3646429964634592,-0.2166810826115912,-0.3133335017317911,-1.3080883583210323,-1.363259104880942,-0.0926909860419476,-1.3977556375852531,-0.1216150885819901,0.5893196117893271,-0.1258018276581196,0.0422824429582091,-1.4956406560674873,-0.1809046857662026,-0.4110442856281206,1.2073596980765775,-1.4611820683841623,0.8973573011685632
1,2,-0.2367747716363397,-0.8287820652846382,-0.168519837089438,0.7013320126397528,-1.026644767861712,-0.7465557948058791,-0.1631074920086064,-0.8372309110153595,-0.13410967674647,-0.0239994981589779,-0.801692980969586,-0.951187516437961,-0.83742048729504,-0.9531273448617564,-0.374828286440921,-0.3150479233527833,-0.9628840212189556,-0.952791326777535,-0.2919056807562444,-1.0268702830685623,-0.5054114040443457,1.199743680395549,-0.8357749610735465,0.8422570703780441,-0.9510770380243188,-0.1809040675669062,-0.4466725712742854,1.2073596980765775,-1.0138632293914287,0.6894667890625428
1,3,-0.2367748390209706,-0.8370168307755594,-0.1685198370526917,0.7013320126397528,-1.0514170425867169,-0.7552623109793601,-0.1796105375664016,-0.905626018315132,-0.1341097136394371,-0.0512416469591765,-0.8554797420128458,-0.9894967391684064,-0.9048273113727764,-0.94229798560908,-0.3684936001122913,-0.3238907296084299,-0.9905548025109748,-0.9426857079928468,-0.2709431175412511,-1.05100800326239,-0.4519349613754215,1.1682785222199703,-0.7545662561188938,0.7881138136563975,-0.9894241774275472,-0.1809051329359091,-0.4436757995844211,1.2073596980765775,-1.0044744342656469,0.7287631663508745
1,4,-0.2367749648453699,-0.8535275355848572,-0.1685198378706172,0.7013320126397528,-1.196239571748282,-0.7725887113245961,-0.1343021761259096,-1.1365467441091337,-0.1341097143038815,-0.2008501690586276,-1.0674884986695847,-1.146347707706272,-1.1368835909846549,-1.1104380371637927,-0.3298696098585636,-0.3124311745628473,-1.115300128007784,-1.110618635263734,-0.214527091707612,-1.1962985113521574,-0.3161870684466141,0.9752922187430852,-0.5101360946712273,0.5289310048527747,-1.1463507151639734,-0.1809050225691636,-0.4321427691416099,1.2073596980765775,-1.1877162357205389,0.7389041669414109
1,5,-0.2367749648453699,-0.8535275355848572,-0.168519840881498,0.7013320126397528,-1.2579503862999204,-0.7725887113245961,-0.234220615594014,-1.194473212536492,-0.1341097081159886,-0.2026365394717562,-1.1187471947691578,-1.206341396133199,-1.194345145936169,-1.166294732256545,-0.3091499066586709,-0.3194693264806066,-1.1756315036116944,-1.167344842041785,-0.2200842812847412,-1.257571185690333,-0.3149529966927158,0.9648038326845636,-0.4908389766622009,0.5361394266056563,-1.2060398636993557,-0.1809048169076828,-0.4216540682270848,1.2073596980765775,-1.2495448865488574,0.7667919185653919
2,1,-0.0372385291747136,1.4298082397378564,-0.1443864198104548,0.6987866190734877,0.542143813465876,1.5167918822922948,-1.5103561202722318,0.4218846293642501,-0.1338550487332999,0.6976941487446456,0.4340949032269316,0.5544372184209032,0.4212085721236785,0.5361945355194733,-0.6383336413610003,0.4024826413910881,0.5535655174567944,0.5359684325827484,0.4632390041865428,0.542081529530199,-0.985876673562064,1.1661808450082656,-0.6034054983815211,0.7746580930510178,0.5545046971167228,-0.1537920770660411,-0.2704079091522653,1.20249131753163,0.5213650701760358,-0.4640720281111114
2,2,-0.032531751254193,1.4050627694376372,-0.1527101306331841,0.6971957480945724,0.5875840807129262,1.525455082464913,-0.0580881111862751,0.4108053198909454,-0.1338750076552525,0.3587303628536493,0.4226750236537273,0.5211877043529707,0.4101582730945402,0.5344846366901035,-0.448688969397651,1.151775122481771,0.6039172670209613,0.5341718781321372,1.980984856289532,0.587571848357027,-0.1467078809112545,0.7550361115140406,-0.3235972872506395,0.1931787383185388,0.5216927846809251,-0.1597651189655191,-0.2406974908330548,1.1979272107707413,0.5205406881649914,0.1735433840189401
2,3,0.0144847681385658,1.4710232410199182,-0.1363306036987958,0.6962412255072228,0.5693713284372939,1.568814399328866,-1.6897892337915297,0.529013700491955,-0.133809878886822,0.6673258517214733,0.5372225179986923,0.621659062079989,0.5283964727063091,0.6000307584826188,-0.6024370854987657,0.8013112500641155,0.5912159247885583,0.5999257710245093,0.6882700099743376,0.5694685582116567,-1.1323198550246565,1.3004321865574004,-1.510370044805758,0.9897894355870284,0.6219545762456161,-0.1440249436408158,-0.294957220672265,1.2018827699635113,0.5769192579202957,-1.247464323730139
2,4,0.0263384646250223,1.3721237074739512,-0.1602738968072569,0.6949685287240905,0.520449750393091,1.5601511991562478,-0.9474522390645346,0.3155407061519768,-0.1336693363322231,-0.5460662513955722,0.3178039158173553,0.5190192577833214,0.3151257014439617,0.5840717027418331,0.6217850383861905,6.224929164432814,0.5295236910883191,0.5835771255239469,1.468738596787586,0.5207289308971983,-0.2935624196251462,-0.1889186337533165,-0.5390817716847667,-0.8635758906539587,0.5194672810548447,-0.1584986552592109,-0.3863890276342368,1.2009699486113337,0.5717439708509623,0.4105892728227586
2,5,-0.0278249733336724,1.4957687113201374,-0.1362026262512556,0.6971957480945724,0.5729259299880711,1.55148799898363,-1.7188946050480045,0.4676849244310621,-0.1337946153505847,0.670451999944447,0.4709697815434615,0.4922750834243302,0.4676198280460543,0.558423220301284,-0.6221889893984512,1.0563089080075487,0.5916695441540012,0.5585601047991849,0.4602142047964601,0.5731820536260922,-1.0525165482725696,1.2207204525126012,-1.2981017467064704,0.8332865899744578,0.4924188523686388,-0.1443822409267698,-0.2529267409613901,1.2018827699635113,0.5345551823527438,-0.8646415514373447
