f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ela_meta.lin_simple.coef.max_by_min,disp.diff_mean_02,disp.diff_median_02,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,disp.ratio_median_02,ic.eps.s,ela_level.mmce_lda_50,ela_level.lda_qda_50,ela_level.lda_qda_25,disp.ratio_mean_02,disp.ratio_mean_10,ic.eps.ratio,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ic.h.max,ela_level.mmce_mda_50,ela_level.mmce_qda_50,disp.diff_median_10,ela_level.qda_mda_25,ic.m0,ela_distr.kurtosis,disp.diff_mean_25,disp.ratio_mean_05
1,1,-0.1764004854764297,0.6637795572105196,0.0571869788877887,-0.3826372625103788,-0.0286436673966946,-1.414407312285604,-1.311951730927876,-0.5652695806502959,0.5188389923471606,-1.312697088590171,-0.8689458240107716,-0.2547926019462005,-0.2430865146445207,-0.0834775771504234,-1.4145315806064822,-1.4668276314152742,-0.7568176365366867,-0.3949390799266443,1.1725980775323015,-0.234225091163909,-0.1433149405729502,0.8633561398355405,-0.0202490982089831,-0.1362733618808767,-1.3675927306337283,-0.6943174893005467,-0.4395918316874612,-0.4789593154908486,-1.4753576704554834,-1.4551319584235751
1,2,-0.1763867139499011,0.6637795572105196,0.8510151722758934,-0.3826331879241056,-0.4299850048295525,-1.0410501672929813,-0.9667398759437528,-0.1654612771148167,1.358446817423827,-0.9668282346413086,-0.8195983929393441,-0.8982153871605776,-0.4010111749693193,-0.2821750273890476,-1.0412547832554724,-0.9276117522917542,-0.7073848906753686,0.1286700760473698,1.1725980775323015,-0.234225091163909,-1.2913165157014113,0.6185557670279298,-0.594031625290036,-0.5216162451564577,-0.8618701434050399,-0.1538458178330093,-0.8111305156070132,-0.4873031266468246,-0.7742765060174001,-1.008746362782878
1,3,-0.176399230439241,0.6637795572105196,0.7972879136925578,-0.3826340796097445,-0.1955939687768164,-1.0659824432996017,-0.9953553207131592,-0.1386156356304198,1.3006399263305626,-0.9945522820669074,-0.8294580195270419,-0.8264836592851371,-0.3946854027615943,-0.2612668917354069,-1.065548141781446,-0.9655141947235126,-0.7173109465376313,0.0990409865163727,1.1725980775323015,-0.234225091163909,-1.1711855464270136,0.6648290082293666,-0.5331924621011244,-0.4679243107236328,-0.900622193020079,-0.3344771396129494,-0.7569202449995338,-0.4877061270495962,-0.8406991806904466,-0.999482848476456
1,4,-0.1763994558618986,0.6637795572105196,0.5400964805924472,-0.3826357446156722,-0.1698300850809639,-1.2117403645690712,-1.1196659700180551,-0.266132432681304,1.030984858422728,-1.119537741772476,-0.849226570835376,-0.6354393589133613,-0.3561157638839385,-0.204997345446079,-1.2117754729089376,-1.1206996665667543,-0.737064291537159,-0.0636761445145122,1.1725980775323015,-0.234225091163909,-0.8070385458139964,0.6767704898297366,-0.3641543080912148,-0.3316294002403084,-1.040340845362394,-0.3874575863554914,-0.6577551158395124,-0.4862558932058194,-1.0649604305113054,-1.1830162256724372
1,5,-0.1763973565269648,0.6637795572105196,0.5472495179778021,-0.3826357446156722,-0.3251450949542813,-1.2738497621950289,-1.1801559402502566,-0.3097566000934491,1.032475580542612,-1.1799852550118954,-0.849226570835376,-0.6138117022674999,-0.3354252172878385,-0.2105401062401651,-1.2734432291671762,-1.1800563216957374,-0.737064291537159,-0.0656190356312997,1.1725980775323015,-0.234225091163909,-0.7619894323360973,0.7096095642307607,-0.3397457815423693,-0.3303903555995509,-1.102388603426072,-0.3981247903976134,-0.5850340211221611,-0.4804606338927231,-1.1212163692650077,-1.2438080383083296
2,1,-0.0900003627390796,0.6612004116392656,0.7839355772398946,2.2577849530527727,4.574233629622099,0.5378710395759491,0.5524573101306874,1.0651237530717246,1.2913643220290647,0.552540462797652,1.8846506894014676,-1.5268592736669493,-0.6641457272212089,0.4710089868452841,0.5378135209327725,0.5620257493187144,1.872994566612932,0.913598087229194,1.1675802735096976,4.683198967150622,-0.2056328808840441,-0.7397877650143062,-1.198415887148745,-1.0040176252913755,0.5746800114778589,-0.3668343252073879,-0.3126604663626304,-0.50676066722008,0.4485276566816765,0.5232073156416167
2,2,-0.0967717246961324,0.659588445657232,0.2069238948212282,2.3200686848379,3.0933584278222352,0.5836048002981514,0.6029909679149593,1.290675080186166,0.6788431665480013,0.6029891392606272,1.8550225115054355,-0.58893989712476,-0.4747679217524449,1.984814137392089,0.5835971581547987,0.5291292898496422,1.8828712391126965,0.5449344978189191,1.1628760822385062,3.5484176927682407,2.0881178136989824,0.0110328906090381,-0.556508069550767,-0.161467269576279,0.5433781406984228,-1.3364831726363189,-0.1725070838164646,-0.4935326047037522,0.4377678611670379,0.522049376353314
2,3,-0.0746758186192167,0.6586212660680114,0.9974140040961668,2.942227693139895,5.216467949673173,0.5652744139441718,0.589990459214966,0.7120556289064012,1.5148070042205073,0.5902633469996961,1.9339981204728949,-1.6458113852191878,-0.6282996847107678,0.6954557182412439,0.5653771392603189,0.6285338086801042,1.9323039849740145,0.8805689382438202,1.1669530480068722,3.2704545738088804,-1.780850215494581,-1.6622672186429854,-1.3098936352673494,-1.1510509226612649,0.6488482097367716,0.1764819340047159,-0.7688200604987382,-0.5069082448323626,0.552567254256295,0.5787884014801474
2,4,-0.0269946607980365,0.6573316932823845,-0.8417113858718691,3.0990849881072124,0.5124769575315825,0.5160368570376075,0.5287842075116912,1.0924487810112011,-0.4269413748234379,0.5284523560180341,1.815584005154644,0.4084555351935496,0.5941997234057321,1.4738978829296376,0.5163232422367198,0.5269838685799186,1.9224273124742504,-0.4391398528335415,1.166012209752634,4.486439070918295,0.9386146014545916,0.2901650230177192,-0.6362911637925142,-0.308913581826421,0.54171019021284,7.056117394237559,-0.295471843974892,-0.5097661420548346,0.3452505643010092,0.5735776746827858
2,5,-0.0694974362970812,0.659588445657232,0.8421136146407848,2.382352416623027,4.971171989687846,0.568851974258731,0.5908858110538087,0.8654592945315254,1.3513244784066052,0.5907178395804435,1.9636262983689263,-1.584172563778482,-0.6480237938862433,0.4679920410966046,0.5691145790335461,0.5005236729200109,1.9125506399744867,0.8839689976981971,1.1669530480068722,6.676993251518248,-1.491785070678063,-1.2114762882289696,-1.2523332293760436,-1.0709260358922803,0.5143002038997635,1.080349689840559,-0.6339554848411064,-0.5002842804656797,0.4930071263288059,0.5365236174570978
