f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.max,ic.eps.s,ela_level.qda_mda_10,ic.eps.ratio,ela_level.lda_mda_25,ela_meta.lin_simple.coef.min,disp.ratio_median_10,pca.expl_var_PC1.cov_init,ela_level.lda_qda_25,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_50,disp.diff_median_05,ela_meta.lin_simple.intercept,ela_level.lda_mda_50,disp.ratio_mean_05,disp.diff_median_25,disp.ratio_median_05,nbc.nb_fitness.cor,ela_level.lda_qda_10,ela_level.mmce_qda_25,ela_meta.lin_simple.adj_r2,disp.diff_median_02,ic.h.max,ela_level.mmce_mda_25,ela_level.lda_qda_50,disp.diff_mean_10,disp.diff_mean_25
1,1,-0.2267130708505561,-0.1675144749162797,-0.8098464597166425,-0.2400175699568449,-0.7331033956965284,-0.2700335446546167,-0.1340960483678403,-1.3153753601414122,0.2265043075650221,-0.032071725282813,0.0957641925933086,0.2881116986810534,0.6655672311773765,-0.1516404091039368,-1.2872216926563258,-0.1796148624153725,-0.2516305324200895,-1.3894958020961232,-1.3569480571672838,-1.288571307205005,-0.4299419116868562,0.0854086771868888,-0.1966171864318922,0.6012718884795464,-1.241119056049176,0.8174948887012325,0.0748169539818401,-0.2489871475309433,-1.4113499100942215,-1.4465260627021104
1,2,-0.2267127632886582,-0.1675144650371454,-0.7669323596536325,-0.257017884965714,-0.6874792323733124,-0.2721929907422216,-0.1340960077756625,-0.8105582453842067,0.3548431993672377,-0.23726423451797,0.8950540158469987,-0.5051205571503233,1.2850934714797484,-0.5414498845299631,-0.8804912014423107,-0.1796142443438781,-0.26689976561377,-0.945569910213819,-0.7092500825611894,-0.8808036586142903,0.0422316748178089,0.2191344633257221,-0.9149553959816707,1.45419413879364,-0.898315072743662,0.6126623024342075,-1.0055733799473323,-0.4079279153689483,-0.8735381998535232,-0.7437268315823415
1,3,-0.2267128305957439,-0.1675144650004047,-0.7755066054204677,-0.2740181999745836,-0.6966405279057464,-0.283331186351976,-0.1340960446685632,-0.8479259927056191,0.3442004619982737,-0.2156726498597506,0.8409571075050393,-0.0418577109555432,1.253159129196121,-0.4871355953494878,-0.8704775937693537,-0.1796153094926343,-0.2646386422314306,-0.9363574403433688,-0.7616330489174564,-0.8700729310197978,0.0155131323532592,0.2618300456471569,-0.8327898703140288,1.3954705512300931,-0.926730923211667,0.651380657155412,-0.8825702744891164,-0.4015614423317653,-0.9114098826871968,-0.8103122813947766
1,4,-0.2267129562753463,-0.1675144658182062,-0.7926979681829721,-0.2273446078593234,-0.7148719618011374,-0.2688969940821924,-0.1340960453330064,-0.9875262562837296,0.3026729181468249,-0.1575637542359527,0.5819961675722258,0.0090633920480996,1.0572951631898684,-0.3492608612759738,-1.0368815008324026,-0.1796151991487052,-0.2572966416017165,-1.1188794996516578,-0.9681085338095812,-1.0366815963027078,-0.1312198467553327,0.099372012285723,-0.5854797732549887,1.1215393175525743,-1.050174498899336,0.6613724906318512,-0.5425489511205441,-0.3627436414522749,-1.0663907276166658,-1.0351231049324237
1,5,-0.2267129562753463,-0.1675144688286302,-0.7926979681829721,-0.3302737878221154,-0.7148719618011374,-0.2777620885470988,-0.1340960391451247,-1.0495708178740015,0.3037163237712331,-0.1632876978198432,0.5891984186828414,-0.2979094117859807,1.046650382428664,-0.3480074546025781,-1.0930912185699344,-0.1796149935297414,-0.2580680836968677,-1.179336333176485,-1.0180294158476442,-1.092029559684827,-0.1329718823267794,0.2153751038760358,-0.5659552919082221,1.123053679409514,-1.1102425482616158,0.6888500326920645,-0.5260963064414198,-0.3419199692264891,-1.1253398053607473,-1.0915169042633632
3,1,-0.2267074173957237,-0.1675143211320915,-0.3549398505572026,-0.2202353852192508,-0.3681100891108009,0.309379937167086,-0.1340959986711606,-0.7675500833727672,0.4370635625706086,0.163266906390203,-0.4584890428747585,-0.2560223348977956,0.244033913033495,-0.158743046919845,-0.7378974281794043,-0.1796148636126237,0.0552970156438259,-0.7688056445745619,-0.7725850791605006,-0.7390450993396798,-0.2880270303997398,0.1277014709958569,-0.1299085418304404,0.006127678702283,-0.7346838737407911,0.5989235314041008,-0.1218313228972189,0.042544263630059,-0.7911447470219292,-0.7988466746030942
3,2,-0.2267012155285435,-0.1675105084961535,0.022669933014218,-0.5651872315810398,-0.1399892724947211,-0.0594307235844678,-0.134095999374329,-0.5362930810817569,0.4416545473180049,-0.1898786762412068,0.5549477134012457,7.366946907679446,1.0615530754943563,-0.9788888135450216,-0.5978849404499706,-0.1796110773913259,-0.2782851868801383,-0.6415584044889726,-0.2992705938506335,-0.5972865400650679,0.87663861571891,0.5428421645111906,-0.5960555339844871,1.096131690841699,-0.6871700111309598,-1.4756308941418113,-0.7305791760248238,-0.6231942849386969,-0.5745660608168572,-0.3375046294740811
3,3,-0.2266814674509146,-0.1675120559931285,-0.0459669043492973,-0.6841894366431263,-0.0122780780575073,0.2054992148475422,-0.1340959613054047,-0.3529796036559571,0.4416545473180049,0.0865370803732432,0.471561650542781,2.268743953625478,1.001942303231586,-0.4804507597580447,-0.3832822017877559,-0.1796105114964277,-0.0683465311928076,-0.3951248354544381,-0.3032608684353087,-0.3832367633117716,0.1767004049262801,0.7535005565310992,-0.9108877957010943,1.006784341282262,-0.4474312777081497,-0.7449780711771168,-1.0698170401229614,-0.2704739940314358,-0.3645247484342644,-0.2952942103965557
3,4,-0.2267023641737389,-0.1675134040562525,-0.1403693502421526,-0.4585488919799493,-0.1856134358179371,0.0143314085658426,-0.1340959799546529,-0.5990426945082821,0.4412371850682417,-0.1461883220502467,0.1048870440000892,1.0489471409304638,0.7017594857654883,-0.4695879019219505,-0.6190247788706573,-0.1796131483846993,0.0223910200678973,-0.6432857425896817,-0.5055762798242615,-0.618747995254053,0.2664922279628813,0.3025116854062597,-0.3007477536146461,0.6179298689058821,-0.6434615252421251,-0.6812801327648088,-0.4085774158762449,-0.1403592013340094,-0.6257942746499068,-0.524011833285442
3,5,-0.2267036559847644,-0.1675140916862369,-0.3120257504941927,-0.0245772142989892,-0.2677460455166734,-0.099323648676547,-0.1340959656344761,-0.8648472367756943,0.4395677360691886,0.0303844692654583,-0.202248953361511,-0.0874767948206923,0.4569295282576779,0.0062888317439066,-0.8106629772695576,-0.1796135645883238,-0.1961133030207662,-0.839050727336741,-0.9307527717402824,-0.8107715416818133,-0.3511003109717914,-0.1535791735431549,0.0433712301221107,0.2839289482364256,-0.7788902593875138,0.5527113015755669,0.299669764596541,-0.2344857367240268,-0.8930939646500781,-0.9628473169344872
4,1,-0.226697060103096,-0.1675124354658578,0.0398612957767227,0.8303840823288843,-0.0122780780575073,-0.1762681224296447,-0.134095954491805,-0.7287722323788489,0.4416545473180049,-0.1736487602565054,-0.5049035500320613,1.6596990882632987,0.1801652284662402,0.1721563148565889,-0.7116840285377524,-0.1796126336792372,-0.1733690619395869,-0.7428955730639205,-0.7612085516212143,-0.7119358927851717,0.2975908593560457,-0.9149837249420728,0.6307327106373314,-0.0207943098655322,-0.6328989375212268,-1.2995248291195516,0.8120521274607028,-0.2358120852734398,-0.7558654710488939,-0.7844085030876432
4,2,-0.2266424645264053,-0.167507847367081,0.1686035959657527,0.0047869661708764,0.161102858287661,0.0142177535086,-0.1340958647552914,-0.5116162668129003,0.4416545473180049,-0.1866182020478518,0.201557258907023,3.1143646878084312,0.7507254772670496,-0.5794698869562959,-0.5697578291197094,-0.1796063993636549,0.2523871702291569,-0.5931929376691095,-0.3425693180673214,-0.5696125583740089,0.4237374205001494,-0.1147772135088942,-0.2763421519311881,0.7161951271784077,-0.5248191257912284,-1.8390838368473248,-0.4218962234736317,0.0293249897542416,-0.5231124203002734,-0.3476962799555763
4,3,-0.2266978349004014,-0.1675131340358317,-0.1232208587084823,0.1138980788641658,-0.1491505680271551,-0.204681886740242,-0.1340960142651932,-0.644871063864732,0.4412371850682417,-0.2899390064861757,0.1013659434571215,3.200333282876792,0.7634992141805004,0.0397130097011222,-0.6868947864318101,-0.1796124788827218,-0.2041203399394036,-0.7215917364885049,-0.6049086471448977,-0.6870857867768735,0.2621121390342666,-0.2626005975840509,0.2068887614012789,0.6128819960494168,-0.6856407475888769,-0.2241537512176669,0.2001704372513598,-0.4243304257633572,-0.6724012414705148,-0.6267776423071847
4,4,-0.2266966544523953,-0.167510482727057,0.0742011500728974,0.2829739390432861,0.0470652392719904,-0.0085132579398778,-0.1340958862539001,-0.6914044850574366,0.4416545473180049,-0.0511273855684226,0.0675953882495665,1.9385513916909327,0.6655672311773765,-0.2130573361003203,-0.700824827327968,-0.1796101051595971,-0.0896276924383556,-0.7354104412941809,-0.5618646213059555,-0.7012051651906791,0.4767364965363873,-0.4915187355024345,0.2483782842631573,0.5775468860541593,-0.6589675462734774,-2.0039490892085903,0.3686141803947766,-0.3285680604957303,-0.7245875187085827,-0.5787919546234785
