f_id,i_id,ela_meta.lin_simple.coef.min,disp.diff_median_25,ela_level.lda_mda_50,disp.diff_median_10,ic.eps.s,ic.eps.ratio,disp.diff_mean_02,ela_level.lda_qda_50,ic.eps.max,disp.ratio_mean_10,disp.ratio_median_02,nbc.nb_fitness.cor,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_distr.kurtosis,ela_level.lda_qda_25,pca.expl_var_PC1.cor_init,disp.diff_mean_25,disp.ratio_median_25,ic.h.max,disp.ratio_median_10,ela_level.mmce_lda_25,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,ela_distr.number_of_peaks,disp.diff_median_05,disp.diff_median_02,disp.ratio_mean_02,disp.ratio_median_05
1,1,-0.1341097167950072,-1.409002345974555,-0.2504329893504545,-1.3731048135193902,-0.8339557172763692,-0.7619323847166775,-1.3983941974122127,-0.2421336586912834,-0.2367739875931902,-1.4727395768544302,-1.2983273769932633,-0.4278665655347627,-0.5594611420790861,-0.1231724170057416,-0.1568699270363223,-0.3147806808344237,-0.0838532595008161,0.6398686467025565,-1.5004245935798002,-1.409928573922947,0.810138911551271,-1.3736785821752069,-0.0918120143192565,0.0739811327960507,0.1403450833343987,-0.6125202879019499,-1.3470125002747997,-1.2975591851062858,-1.3985282812028146,-1.3483883760433255
1,2,-0.1341096762027563,-0.7590083280529264,-0.2656752466677561,-0.8665008447193898,-0.7931313039759434,-0.7188823465224458,-1.027319083561488,-0.4000838738236561,-0.2367736796770224,-0.9325116058028884,-0.9543848896763916,0.0424528007477739,-0.1555139739082481,-0.507553328024037,-0.1733219041625341,-0.3168074312199856,-0.2825894204310338,1.2490983116024386,-0.7946331228074678,-0.7590780473400827,0.5959522474285712,-0.8676220546985558,-1.2368411325422914,0.8633560399228538,-0.9074692870147172,-0.6125202879019499,-0.9391152124634834,-0.9542741323417012,-1.0275311188340426,-0.939450029586476
1,3,-0.1341097130957234,-0.811576988304289,-0.2634181179709432,-0.9053204320383872,-0.8012880299100944,-0.7275267597862225,-1.052098968670951,-0.393757078001942,-0.2367737470616368,-0.9704851899749456,-0.9819545240079676,0.0158391816909699,-0.1283904230478559,-0.4539954304544995,-0.1897738812887465,-0.3169053218848666,-0.2616772114065969,1.2176947206282178,-0.8615020669869856,-0.8131354000462995,0.6364387510127386,-0.9050815462575807,-1.1170212117341256,0.8099301851753853,-0.7881749750895459,-0.6125202879019499,-0.9290728785366263,-0.982729859819541,-1.051676115634013,-0.9286884941534008
1,4,-0.1341097137601677,-1.0187844141248947,-0.256089088320115,-1.0452825883262504,-0.8176422654080672,-0.74472957225145,-1.1969659893108855,-0.3551811979223252,-0.2367738728860053,-1.1259619402643155,-1.1062438591093344,-0.1303175787029531,-0.2572272896347178,-0.3180407673933662,-0.1446057259058726,-0.3165530533654713,-0.205396702555596,1.0250860293196598,-1.087270045613495,-1.0185533403299265,0.6468868809699424,-1.045024552459225,-0.7538170767843729,0.5541815668872061,-0.4584059854365245,-0.6125202879019499,-1.0959541521033744,-1.1063466684247776,-1.1970104232953718,-1.095775491666934
1,5,-0.1341097075722749,-1.0688822621440213,-0.2568591675225572,-1.10743848423443,-0.8176422654080672,-0.74472957225145,-1.258695762275878,-0.3344873032554691,-0.2367738728860053,-1.1854300060432,-1.16635470117654,-0.1320627340509411,-0.3013030597828554,-0.3168048159109922,-0.244214969233667,-0.315145358029649,-0.2109405432030139,1.014618165661591,-1.1439039473165558,-1.0693672518737731,0.6756192383522585,-1.107221444104401,-0.7088846064813108,0.5612944765429337,-0.4424494214210558,-0.6125202879019499,-1.1523251198794653,-1.1664990134937046,-1.258301569018372,-1.1512823586375314
2,1,-0.1338550481896045,0.4487928514013939,-0.2670560783411005,0.5725529531977613,1.444054701613319,1.5283210458102154,0.5419514512552194,-0.6632610055741185,-0.0372374860616201,0.5599219004310136,0.5565214639376754,0.7474955613345818,1.0878102235672218,-0.9887504384949576,-1.516401491375134,-0.3215337579694458,0.470741330835168,1.2156011478966031,0.4363866110483724,0.4485632121168273,-0.592522535203487,0.572801413174931,-0.1539685982384928,0.7966527538180261,-0.5837789884152078,0.9748562328580332,0.5403214216410898,0.5564436447327779,0.5418936731640102,0.5405442907622037
2,2,-0.1338750071115556,0.4376315961454319,-0.1280169506174213,0.5411965290075239,1.419543740181195,1.5369224520428295,0.5874056783790859,-0.4738525556615569,-0.0325307092933128,0.5269636953005502,0.606689159196773,0.4163523340540205,1.3156964857067668,-0.1483034304806784,-0.0686275042684564,-0.3183206003003627,1.9848414043628415,0.8052608925001192,0.4255545244274559,0.4377517415755825,0.0644036358557703,0.5409961844927397,2.133843014692423,0.2228780415892927,0.2087303576864078,0.5780121026680374,0.5385361178318707,0.6066952485766235,0.587397705594723,0.5388451009569815
2,3,-0.1338098783431298,0.5495849503922559,-0.2793242366696604,0.646850413001983,1.4848791149137444,1.579972490237061,0.5691873308947618,-0.627409162584406,0.0144857985898605,0.6265547934121727,0.5940342450773605,0.7178279204188002,0.731087094840817,-1.1354166810699984,-1.6952793517655869,-0.3215696052551768,0.6952317894565542,1.349589802719945,0.5411252123907805,0.5491098881503936,-1.3996405743975626,0.6470136134333784,-1.725107309835567,1.0089335908767556,-1.765324561941586,1.371700363048029,0.603878237249287,0.5937673023007086,0.5692889579947454,0.6039807101571725
2,4,-0.1336693357885409,0.3351354887185452,0.5600620939921994,0.5395256715906374,1.3869168364445912,1.5713710840044472,0.520250723467051,0.5952880660439107,0.0263394921745468,0.5248142471398664,0.5325675193545036,-0.4675688497014703,1.1154181235501222,-0.2953816568831773,-0.9552395079428764,-0.3222638017307757,1.4738256120274444,-0.1368468367265062,0.3324156378916992,0.3339616243796459,0.3086286736054366,0.5395826187735313,0.9873161474592864,-0.8198745139404472,-1.615636794748855,0.0488865957480429,0.5876319725853939,0.5329026736904094,0.5205346375332677,0.5881216053084309
2,5,-0.1337946148068935,0.4848326298233167,-0.2800943158721025,0.5120679147064684,1.5093900763458683,1.5627696777718338,0.5727430244681608,-0.647136463445167,-0.0278239325250056,0.4983043864914482,0.5944862062959109,0.7208819422777778,0.8860788140430573,-1.0554918185431503,-1.724294656879089,-0.3199606136225572,0.4677237973182193,1.2700340389185856,0.4811649218828711,0.4853222119570563,-1.005223668513078,0.5120180872489649,-1.4367906253909195,0.854504419017948,-1.6460302500164146,0.9748562328580332,0.562771617042019,0.5946576567274247,0.5730035728870492,0.5626337582300958
