max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
7,1.0,2,10,1,1
5,sqrt,2,10,1,2
10,1.0,2,70,1,3
5,1.0,7,10,1,4
10,1.0,2,20,1,5
7,sqrt,5,70,1,6
5,sqrt,5,70,1,7
10,sqrt,2,20,1,8
5,sqrt,5,70,1,9
10,sqrt,5,70,1,10
7,1.0,7,20,1,11
7,1.0,5,20,1,12
5,log2,7,70,1,13
7,sqrt,2,50,1,14
10,sqrt,2,20,1,15
7,1.0,7,20,1,16
7,1.0,2,20,1,17
5,1.0,2,50,1,18
10,1.0,2,20,1,19
7,1.0,2,10,1,20
5,1.0,5,10,1,21
5,1.0,2,10,1,22
10,sqrt,2,10,1,23
5,1.0,2,10,1,24
5,1.0,2,10,1,25
5,1.0,2,10,1,26
10,log2,2,10,1,27
5,1.0,10,10,1,28
7,log2,2,10,1,29
10,sqrt,2,50,1,30
